Pablo;pabl.0o;帕布罗[pà bù luō],帕布羅[pà bù luō]
proksimume;proksi.0ume;約合[yuē hé],约合[yuē hé]
proksimume;proksi.0ume;几乎[jī hū],幾乎[jī hū]
proksimume;proksi.0ume;近[jìn]
alproksimiĝo;proksi.al0igxo;近似[jìn sì]
alproksimiĝo;proksi.al0igxo;近似解[jìn sì jiě]
alproksimiĝo;proksi.al0igxo.problema;概算[gài suàn]
alproksimiĝo;proksi.al0igxo.problema;近似額[jìn sì é],近似额[jìn sì é]
malproksima;proksi.mal0a;遙[yáo],遥[yáo]
malproksima;proksi.mal0a;远远[yuǎn yuǎn],遠遠[yuǎn yuǎn]
malproksima;proksi.mal0a;遙遙[yáo yáo],遥遥[yáo yáo]
malproksima;proksi.mal0a;遙遠[yáo yuǎn],遥远[yáo yuǎn]
malproksima;proksi.mal0a;緬[miǎn],缅[miǎn]
malproksima;proksi.mal0a;辽远[liáo yuǎn],遼遠[liáo yuǎn]
malproksima;proksi.mal0a;逴[chuò]
malproksima;proksi.mal0a;邃[suì]
malproksima;proksi.mal0a;远距离[yuǎn jù lí],遠距離[yuǎn jù lí]
malproksima;proksi.mal0a;悠远[yōu yuǎn],悠遠[yōu yuǎn]
malproksima;proksi.mal0a;攸[yōu]
malproksima;proksi.mal0a;逌[yóu]
malproksima;proksi.mal0a;遐[xiá]
malproksima;proksi.mal0a;逖[tì]
malproksimigi;proksi.mal0igi;疏远[shū yuǎn],疏遠[shū yuǎn]
malproksimigi;proksi.mal0igi;支走[zhī zǒu]
tuŝproksima;proksi.tusx0a;触手可及[chù shǒu kě jí],觸手可及[chù shǒu kě jí]
tuŝproksima;proksi.tusx0a;触手可得[chù shǒu kě dé],觸手可得[chù shǒu kě dé]
tuŝproksima;proksi.tusx0a;凑手[còu shǒu],湊手[còu shǒu]
prokuristo;prokur.0isto;全权代表[quán quán dài biǎo],全權代表[quán quán dài biǎo]
prokuro;prokur.0o;委托书[wěi tuō shū],委託書[wěi tuō shū]
prokurorejo;prokur1.0ejo;检察院[jiǎn chá yuàn],檢察院[jiǎn chá yuàn]
prokuroro;prokur1.0o;公訴人[gōng sù rén],公诉人[gōng sù rén]
prokuroro;prokur1.0o;检察官[jiǎn chá guān],檢察官[jiǎn chá guān]
prokuroro;prokur1.0o;检控官[jiǎn kòng guān],檢控官[jiǎn kòng guān]
prokuroro;prokur1.0o;起訴員[qǐ sù yuán],起诉员[qǐ sù yuán]
prokuroro;prokur1.0o;城市律师[chéng shì lǜ shī],城市律師[chéng shì lǜ shī]
proletaro;prolet.0aro;无产阶级[wú chǎn jiē jí],無產階級[wú chǎn jiē jí]
proletaro;prolet.0aro;工农兵[gōng nóng bīng],工農兵[gōng nóng bīng]
proletaro;prolet.0aro;普罗[pǔ luó],普羅[pǔ luó]
proletaro;prolet.0aro;普罗大众[pǔ luó dà zhòng],普羅大眾[pǔ luó dà zhòng]
proletaro;prolet.0aro;普罗列塔利亚[pǔ luó liè tǎ lì yà],普羅列塔利亞[pǔ luó liè tǎ lì yà]
proleto;prolet.0o;无产者[wú chǎn zhě],無產者[wú chǎn zhě]
proliferi;prolifer.0i;扩散[kuò sàn],擴散[kuò sàn]
proliferi;prolifer.0i;再育[zài yù]
proliferi;prolifer.0i;蕃[fán]
prologo;prolog.0o;序幕[xù mù]
prologo;prolog.0o;开场白[kāi chǎng bái],開場白[kāi chǎng bái]
prologo;prolog.0o;楔子[xiē zi]
prologo;prolog.0o;序言[xù yán]
promeno;promen.0ado;行走[xíng zǒu]
promenanto;promen.0anto;散步的人[sàn bù de rén]
promenanto;promen.0anto;漫步者[mán bù zhě]
promenanto;promen.0anto;助行器[zhù xíng qì]
promenejo;promen.0ejo;木板路[mù bǎn lù]
promenejo;promen.0ejo;走道[zǒu dào]
promeni;promen.0i;散步[sàn bù]
promeni;promen.0i;游逛[yóu guàng],遊逛[yóu guàng]
promeni;promen.0i;溜溜达达[liū liu dā dā],溜溜達達[liū liu dā dā]
promeni;promen.0i;逛逛[guàng guang]
promeni;promen.0i;游玩[yóu wán],遊玩[yóu wán]
promeni;promen.0i;漫步[màn bù]
promeni;promen.0i;迶[yòu]
promesa;promes.0a;充满希望[chōng mǎn xī wàng],充滿希望[chōng mǎn xī wàng]
promesa;promes.0a;可以預見[kě yǐ yù jiàn],可以预见[kě yǐ yù jiàn]
promesa;promes.0a;有望[yǒu wàng]
promesa;promes.0a;有潛力[yǒu qián lì],有潜力[yǒu qián lì]
promesa;promes.0a;有为[yǒu wéi],有為[yǒu wéi]
promesa;promes.0a;远大[yuǎn dà],遠大[yuǎn dà]
promesa;promes.0a;可預見[kě yù jiàn],可预见[kě yù jiàn]
promesa;promes.0a;有成[yǒu chéng]
promesa;promes.0a;有成功希望[yǒu chéng gōng xī wàng]
promesi;promes.0i;应许[yīng xǔ],應許[yīng xǔ]
promesi;promes.0i;許諾[xǔ nuò],许诺[xǔ nuò]
promesi;promes.0i;允諾[yǔn nuò],允诺[yǔn nuò]
promesi;promes.0i;应承[yìng chéng],應承[yìng chéng]
promesi;promes.0i;諾[nuò],诺[nuò]
promesi;promes.0i;承諾[chéng nuò],承诺[chéng nuò]
promesi;promes.0i;有希望[yǒu xī wàng]
promesi;promes.0i;应诺[yìng nuò],應諾[yìng nuò]
promeso;promes.0o;諾[nuò],诺[nuò]
promeso;promes.0o;諾言[nuò yán],诺言[nuò yán]
promeso;promes.0o;允諾[yǔn nuò],允诺[yǔn nuò]
promesplena;promes.0plena;充满希望[chōng mǎn xī wàng],充滿希望[chōng mǎn xī wàng]
promesplena;promes.0plena;可以預見[kě yǐ yù jiàn],可以预见[kě yǐ yù jiàn]
promesplena;promes.0plena;大有希望[dà yǒu xī wàng]
promesplena;promes.0plena;祥瑞[xiáng ruì]
promesplena;promes.0plena;有为[yǒu wéi],有為[yǒu wéi]
promesplena;promes.0plena;有希望[yǒu xī wàng]
multpromesa;promes.mult0a;充满希望[chōng mǎn xī wàng],充滿希望[chōng mǎn xī wàng]
multpromesa;promes.mult0a;可以預見[kě yǐ yù jiàn],可以预见[kě yǐ yù jiàn]
multpromesa;promes.mult0a;有为[yǒu wéi],有為[yǒu wéi]
multpromesa;promes.mult0a;有希望[yǒu xī wàng]
Prometeo;promete.0o;普罗米修斯[pǔ luó mǐ xiū sī],普羅米修斯[pǔ luó mǐ xiū sī]
prometio;prometi.0o;鉕[pǒ],钷[pǒ]
promocii;promoc.0i;升迁[shēng qiān],升遷[shēng qiān]
promocii;promoc.0i;推銷[tuī xiāo],推销[tuī xiāo]
promocii;promoc.0i;促进[cù jìn],促進[cù jìn]
promocii;promoc.0i;推动[tuī dòng],推動[tuī dòng]
promocii;promoc.0i;提拔[tí bá]
promocii;promoc.0i;貤[yí]
promocii;promoc.0i;造势[zào shì],造勢[zào shì]
promociiĝi;promoc.0igxi;升官[shēng guān]
promociiĝi;promoc.0igxi;升职[shēng zhí],升職[shēng zhí]
promociiĝi;promoc.0igxi;晉升[jìn shēng],晋升[jìn shēng]
promociiĝi;promoc.0igxi;进身[jìn shēn],進身[jìn shēn]
promocio;promoc.0o;升迁[shēng qiān],升遷[shēng qiān]
promocio;promoc.0o;推銷[tuī xiāo],推销[tuī xiāo]
promocio;promoc.0o;促銷活動[cù xiāo huó dòng],促销活动[cù xiāo huó dòng]
promocio;promoc.0o;促銷[cù xiāo],促销[cù xiāo]
malpromocio;promoc.mal0o;降級[jiàng jí],降级[jiàng jí]
malpromocio;promoc.mal0o.POL;降格[jiàng gé]
malpromocio;promoc.mal0o.POL;降职[jiàng zhí],降職[jiàng zhí]
promontoro;promon.0o;岬角[jiǎ jiǎo]
promontoro;promon.0o;海角[hǎi jiǎo]
prompta;prompt.0a;寁[zǎn]
prompta;prompt.0a;捷[jié]
prompta;prompt.0a;敏[mǐn]
prompta;prompt.0a;敏捷[mǐn jié]
prompta;prompt.0a;痛痛快快[tòng tong kuài kuài]
promulgi;promulg.0i;頒發[bān fā],颁发[bān fā]
promulgi;promulg.0i;譒[bò]
pronomo;pronom.0o.substantiva;代名詞[dài míng cí],代名词[dài míng cí]
pronomo;pronom.0o.substantiva;代詞[dài cí],代词[dài cí]
prononci;pronon.0i;发音[fā yīn],發音[fā yīn]
prononco;pronon.0o;发音[fā yīn],發音[fā yīn]
misprononci;pronon.mis0i;誤讀[wù dú],误读[wù dú]
misprononci;pronon.mis0i;錯讀[cuò dú],错读[cuò dú]
propagandi;propag.0i;宣传[xuān chuán],宣傳[xuān chuán]
propagandi;propag.0i;做广告[zuò guǎng gào],做廣告[zuò guǎng gào]
propagandilo;propag.0ilo;文宣[wén xuān]
propagandisto;propag.0isto;宣传员[xuān chuán yuán],宣傳員[xuān chuán yuán]
propagandisto;propag.0isto;宣传者[xuān chuán zhě],宣傳者[xuān chuán zhě]
propagando;propag.0o;宣传[xuān chuán],宣傳[xuān chuán]
propagando;propag.0o;政治宣传[zhèng zhì xuān chuán],政治宣傳[zhèng zhì xuān chuán]
propagando;propag.0o;宣传机构[xuān chuán jī gòu],宣傳機構[xuān chuán jī gòu]
propagando;propag.0o;宣传活动[xuān chuán huó dòng],宣傳活動[xuān chuán huó dòng]
propileo;propile.0o;朝門[cháo mén],朝门[cháo mén]
proponi;propon.0i;提議[tí yì],提议[tí yì]
proponi;propon.0i;提案[tí àn]
proponi;propon.0i;倡議[chàng yì],倡议[chàng yì]
proponi;propon.0i;提請[tí qǐng],提请[tí qǐng]
proponi;propon.0i;创议[chuàng yì],創議[chuàng yì]
proponi;propon.0i;建議[jiàn yì],建议[jiàn yì]
proponi;propon.0i;提出[tí chū]
propono;propon.0o;議案[yì àn],议案[yì àn]
propono;propon.0o;提議[tí yì],提议[tí yì]
propono;propon.0o;建議[jiàn yì],建议[jiàn yì]
propono;propon.0o;提案[tí àn]
propono;propon.0o;提名[tí míng]
proporcia;propor.0a.KOMUNE;成比例[chéng bǐ lì]
proporcie al;propor.0eal;成比例[chéng bǐ lì]
proporcio;propor.0o;比例[bǐ lì]
proporcio;propor.0o;比重[bǐ zhòng]
proporcio;propor.0o;成比例[chéng bǐ lì]
demanda propozicio;propoz.demanda0o;疑問句[yí wèn jù],疑问句[yí wèn jù]
indika propozicio;propoz.indika0o;陈述句[chén shù jù],陳述句[chén shù jù]
propra;propr.0a;自己[zì jǐ]
propra;propr.0a;自身[zì shēn]
propra;propr.0a;內在[nèi zài],内在[nèi zài]
propra;propr.0a;固有[gù yǒu]
propra;propr.0a;妥当[tuǒ dang],妥當[tuǒ dang]
propraĵo;propr.0ajxo;属性[shǔ xìng],屬性[shǔ xìng]
propraĵo;propr.0ajxo;物业[wù yè],物業[wù yè]
propraĵo;propr.0ajxo;产业[chǎn yè],產業[chǎn yè]
propraĵo;propr.0ajxo;財[cái],财[cái]
propraĵo;propr.0ajxo;財物[cái wù],财物[cái wù]
propraĵo;propr.0ajxo;財產[cái chǎn],财产[cái chǎn]
propraĵo;propr.0ajxo;动产[dòng chǎn],動產[dòng chǎn]
propraĵo;propr.0ajxo.KOMUNE;属性[shǔ xìng],屬性[shǔ xìng]
propraĵo;propr.0ajxo.KOMUNE;特質[tè zhì],特质[tè zhì]
propraĵo;propr.0ajxo.KOMUNE;特性[tè xìng]
propre;propr.0e.ARG;严格来说[yán gé lái shuō],嚴格來說[yán gé lái shuō]
propre;propr.0e.ARG;其实[qí shí],其實[qí shí]
propre;propr.0e.ARG;原[yuán]
propre;propr.0e.ARG;按理[àn lǐ]
propre;propr.0e.ARG;按理說[àn lǐ shuō],按理说[àn lǐ shuō]
propre;propr.0e.ARG;本該[běn gāi],本该[běn gāi]
propre;propr.0e.ARG;本證[běn zhèng],本证[běn zhèng]
propreco;propr.0eco.JUR;所有权[suǒ yǒu quán],所有權[suǒ yǒu quán]
propreco;propr.0eco.JUR;財產[cái chǎn],财产[cái chǎn]
propreco;propr.0eco.JUR;产权[chǎn quán],產權[chǎn quán]
propreco;propr.0eco.KOMUNE;属性[shǔ xìng],屬性[shǔ xìng]
propreco;propr.0eco.KOMUNE;特徵[tè zhēng]
proprulo;propr.0ulo;主[zhǔ]
proprulo;propr.0ulo;业主[yè zhǔ],業主[yè zhǔ]
proprulo;propr.0ulo;所有者[suǒ yǒu zhě]
proprumaĵo;propr.0umajxo;属地[shǔ dì],屬地[shǔ dì]
proprumaĵo;propr.0umajxo;动产[dòng chǎn],動產[dòng chǎn]
proprumaĵo;propr.0umajxo;物业[wù yè],物業[wù yè]
proprumaĵo;propr.0umajxo;財物[cái wù],财物[cái wù]
proprumaĵo;propr.0umajxo;財產[cái chǎn],财产[cái chǎn]
proprumo;propr.0umajxo;属地[shǔ dì],屬地[shǔ dì]
proprumo;propr.0umajxo;动产[dòng chǎn],動產[dòng chǎn]
proprumeco;propr.0umeco;所有权[suǒ yǒu quán],所有權[suǒ yǒu quán]
proprumi;propr.0umi;佔有[zhàn yǒu],占有[zhàn yǒu]
proprumi;propr.0umi;持有[chí yǒu]
proprumi;propr.0umi;有着[yǒu zhe],有著[yǒu zhe]
proprumi;propr.0umi;具有[jù yǒu]
proprumi;propr.0umi;具[jù]
alproprigi;propr.al0igi;僭[jiàn]
alproprigi;propr.al0igi;擅[shàn]
alproprigi;propr.al0igi;窃夺[qiè duó],竊奪[qiè duó]
alproprigi;propr.al0igi;窃据[qiè jù],竊據[qiè jù]
malpropra;propr.mal0a;异己[yì jǐ],異己[yì jǐ]
malpropra;propr.mal0a;外源性[wài yuán xìng]
malpropra;propr.mal0a;异种[yì zhǒng],異種[yì zhǒng]
malpropra;propr.mal0a;傀[guī]
proprietaĵo;propriet.0ajxo;所有权[suǒ yǒu quán],所有權[suǒ yǒu quán]
proprietaĵo;propriet.0ajxo;財產[cái chǎn],财产[cái chǎn]
proprietaĵo;propriet.0ajxo;产业[chǎn yè],產業[chǎn yè]
proprietaĵo;propriet.0ajxo;私人財產[sī rén cái chǎn],私人财产[sī rén cái chǎn]
proprietaĵo;propriet.0ajxo;嗣[sì]
proprietaĵo;propriet.0ajxo;所有物[suǒ yǒu wù]
proprieti;propriet.0i;佔有[zhàn yǒu],占有[zhàn yǒu]
proprieti;propriet.0i;持有[chí yǒu]
proprieti;propriet.0i;有着[yǒu zhe],有著[yǒu zhe]
proprieto;propriet.0o;产权[chǎn quán],產權[chǎn quán]
proprieto;propriet.0o;物权[wù quán],物權[wù quán]
proprieto;propriet.0o;所有权[suǒ yǒu quán],所有權[suǒ yǒu quán]
proprieto;propriet.0o;財產[cái chǎn],财产[cái chǎn]
proprietulo;propriet.0ulo;主[zhǔ]
proprietulo;propriet.0ulo;业主[yè zhǔ],業主[yè zhǔ]
proprietulo;propriet.0ulo;房主[fáng zhǔ]
proprietulo;propriet.0ulo;所有者[suǒ yǒu zhě]
proprietulo;propriet.0ulo;员外[yuán wài],員外[yuán wài]
proprietulo;propriet.0ulo;地主[dì zhǔ]
propulso;propuls.0o;推进器[tuī jìn qì],推進器[tuī jìn qì]
propulso;propuls.0o;推进力[tuī jìn lì],推進力[tuī jìn lì]
propulso;propuls.0o;传动型式[chuán dòng xíng shì],傳動型式[chuán dòng xíng shì]
propulso;propuls.0o;传动电动机[chuán dòng diàn dòng jī],傳動電動機[chuán dòng diàn dòng jī]
propulso;propuls.0o;传动马达[chuán dòng mǎ dá],傳動馬達[chuán dòng mǎ dá]
propulso;propuls.0o;原动力[yuán dòng lì],原動力[yuán dòng lì]
propulso;propuls.0o;引擎[yǐn qíng]
proskribi;proskr.0i;唾弃[tuò qì],唾棄[tuò qì]
proskribi;proskr.0i.JUR;被禁[bèi jìn]
prospekto;prospe.0o;招股說明書[zhāo gǔ shuō míng shū],招股说明书[zhāo gǔ shuō míng shū]
prospera;prospe1.0a;昌盛[chāng shèng]
prospera;prospe1.0a;昌明[chāng míng]
prospera;prospe1.0a;昌[chāng]
prospera;prospe1.0a;盛[shèng]
prospera;prospe1.0a;紅火[hóng huǒ],红火[hóng huǒ]
prospera;prospe1.0a;繁榮[fán róng],繁荣[fán róng]
prospera;prospe1.0a;繁华[fán huá],繁華[fán huá]
prospera;prospe1.0a;欣欣向榮[xīn xīn xiàng róng],欣欣向荣[xīn xīn xiàng róng]
prospera;prospe1.0a;勃[bó]
prosperi;prospe1.0i;成功[chéng gōng]
prosperi;prospe1.0i;得手[dé shǒu]
prosperi al;prospe1.0i_al;接班[jiē bān]
prosperi al;prospe1.0i_al;順利進行[shùn lì jìn xíng],顺利进行[shùn lì jìn xíng]
prosperi al;prospe1.0i_al;遂[suì]
prosperi al;prospe1.0i_al;成功[chéng gōng]
prospero;prospe1.0o;成功[chéng gōng]
prospero;prospe1.0o;景气[jǐng qì],景氣[jǐng qì]
prospero;prospe1.0o;盛世[shèng shì]
prospero;prospe1.0o;小康[xiǎo kāng]
prospero;prospe1.0o;兴旺[xīng wàng],興旺[xīng wàng]
malprosperi;prospe1.mal0i;衰落[shuāi luò]
malprosperi;prospe1.mal0i;雕謝[diāo xiè],雕谢[diāo xiè]
malprosperi;prospe1.mal0i;衰敗[shuāi bài],衰败[shuāi bài]
malprosperi;prospe1.mal0i;降幅[jiàng fú]
malprosperi;prospe1.mal0i;消亡[xiāo wáng]
malprosperi;prospe1.mal0i;謝[xiè],谢[xiè]
malprosperi;prospe1.mal0i;衰[shuāi]
malprosperi;prospe1.mal0i;受挫[shòu cuò]
malprosperi;prospe1.mal0i;失敗[shī bài],失败[shī bài]
malprosperigi;prospe1.mal0igi;偾[fèn],僨[fèn]
malprosperigi;prospe1.mal0igi;削弱[xuē ruò]
malprosperigi;prospe1.mal0igi;窳敗[yǔ bài],窳败[yǔ bài]
malprosperigi;prospe1.mal0igi;逆轉[nì zhuǎn],逆转[nì zhuǎn]
malprospero;prospe1.mal0o;下挫[xià cuò]
malprospero;prospe1.mal0o;沒落[mò luò],没落[mò luò]
malprospero;prospe1.mal0o;衰退[shuāi tuì]
malprospero;prospe1.mal0o;衰亡[shuāi wáng]
malprospero;prospe1.mal0o;衰落[shuāi luò]
malprospero;prospe1.mal0o;降幅[jiàng fú]
prospektori;prospektor.0i;探勘[tàn kān]
prospektori;prospektor.0i;勘探[kān tàn]
prospektori;prospektor.0i;勘测[kān cè],勘測[kān cè]
prospektori;prospektor.0i;探矿[tàn kuàng],探礦[tàn kuàng]
prospektori;prospektor.0i;勘察[kān chá]
prostato;prosta.0o;前列腺[qián liè xiàn]
prostituado;prosti.0ado;卖淫[mài yín],賣淫[mài yín]
prostituejo;prosti.0ejo;妓院[jì yuàn]
prostituejo;prosti.0ejo;妓館[jì guǎn],妓馆[jì guǎn]
prostituejo;prosti.0ejo;柳陌花衢[liǔ mò huā qú]
prostituejo;prosti.0ejo;妓寨[jì zhài]
prostituitino;prosti.0itino;妓女[jì nǔ:]
prostituitino;prosti.0itino;婊子[biǎo zi]
prostituitino;prosti.0itino;娼[chāng]
prostituitino;prosti.0itino;婊[biǎo]
prostituitino;prosti.0itino;妓[jì]
prostituitino;prosti.0itino;娼女[chāng nǚ]
prostituitino;prosti.0itino;妓女[jì nǚ]
prostracio;prostraci.0o;衰竭[shuāi jié]
protagonisto;protag.0o;主角[zhǔ jué]
protagonisto;protag.0o;主唱者[zhǔ chàng zhě]
protagonisto;protag.0o;主演人[zhǔ yǎn rén]
protagonisto;protag.0o;先驅人物[xiān qū rén wù],先驱人物[xiān qū rén wù]
protaktinio;protaktini.0o;鏷[pú],镤[pú]
proteino;protein.0o;蛋白質[dàn bái zhì],蛋白质[dàn bái zhì]
proteino;protein.0o;朊[ruǎn]
protekta;protek.0a;保护性[bǎo hù xìng],保護性[bǎo hù xìng]
protektado;protek.0ado;保护[bǎo hù],保護[bǎo hù]
protektanto;protek.0anto;保护者[bǎo hù zhě],保護者[bǎo hù zhě]
protektanto;protek.0anto;女保护人[nǚ bǎo hù rén],女保護人[nǚ bǎo hù rén]
protektanto;protek.0anto;女保鏢[nǚ bǎo biāo],女保镖[nǚ bǎo biāo]
protektanto;protek.0anto;女护卫[nǚ hù wèi],女護衛[nǚ hù wèi]
protektanto;protek.0anto;子弹壳[zǐ dàn ké],子彈殼[zǐ dàn ké]
protektanto;protek.0anto;监护人[jiān hù rén],監護人[jiān hù rén]
protektejo;protek.0ejo;保护区[bǎo hù qū],保護區[bǎo hù qū]
protektejo;protek.0ejo;属地[shǔ dì],屬地[shǔ dì]
protektejo;protek.0ejo;附属地[fù shǔ dì],附屬地[fù shǔ dì]
protektejo;protek.0ejo;附属物[fù shǔ wù],附屬物[fù shǔ wù]
protektejo;protek.0ejo;宿舍[sù shè]
protekti;protek.0i;护佑[hù yòu],護佑[hù yòu]
protekti;protek.0i;护[hù],護[hù]
protekti;protek.0i;保[bǎo]
protekti;protek.0i;卫护[wèi hù],衛護[wèi hù]
protekti;protek.0i;防守[fáng shǒu]
protekti;protek.0i;保护[bǎo hù],保護[bǎo hù]
protektismo;protek.0ismo;貿易保護主義[mào yì bǎo hù zhǔ yì],贸易保护主义[mào yì bǎo hù zhǔ yì]
protekto;protek.0o;保护[bǎo hù],保護[bǎo hù]
protekto;protek.0o;掩护物[yǎn hù wù],掩護物[yǎn hù wù]
protekto;protek.0o;保护继电器[bǎo hù jì diàn qì],保護繼電器[bǎo hù jì diàn qì]
protekto;protek.0o;保险机[bǎo xiǎn jī],保險機[bǎo xiǎn jī]
protekto;protek.0o;閘門[zhá mén],闸门[zhá mén]
mediprotekto;protek.medi0o;环保组织[huán bǎo zǔ zhī],環保組織[huán bǎo zǔ zhī]
mediprotekto;protek.medi0o;保护环境[bǎo hù huán jìng],保護環境[bǎo hù huán jìng]
mediprotekto;protek.medi0o;污染防治[wū rǎn fáng zhì]
mediprotekto;protek.medi0o;环保工作[huán bǎo gōng zuò],環保工作[huán bǎo gōng zuò]
mediprotekto;protek.medi0o;环境保护[huán jìng bǎo hù],環境保護[huán jìng bǎo hù]
mediprotekto;protek.medi0o;生态保护[shēng tài bǎo hù],生態保護[shēng tài bǎo hù]
mediprotekto;protek.medi0o;环保[huán bǎo],環保[huán bǎo]
naturprotekto;protek.natur0o;自然保护[zì rán bǎo hù],自然保護[zì rán bǎo hù]
protektorato;protek1.0o;保护国[bǎo hù guó],保護國[bǎo hù guó]
proterozoiko;proterozoik.0o.GEOL;元古宙[yuán gǔ zhòu]
protesti;protes.0i;抗議[kàng yì],抗议[kàng yì]
protesti;;提出异议[tí chū yì yì],提出異議[tí chū yì yì]
protesto;protes.0o;停止支付的通知[tíng zhǐ zhī fù de tōng zhī]
protesto;protes.0o;抗議[kàng yì],抗议[kàng yì]
protesto;protes.0o;提出申訴[tí chū shēn sù],提出申诉[tí chū shēn sù]
protesto;protes.0o;异议[yì yì],異議[yì yì]
protesto;protes.0o.ago;拒付声明[jù fù shēng míng],拒付聲明[jù fù shēng míng]
protesto;protes.0o.ago;拒付證書[jù fù zhèng shū],拒付证书[jù fù zhèng shū]
protesto;protes.0o.ago;拒兌聲明[jù duì shēng míng],拒兑声明[jù duì shēng míng]
protesto;protes.0o.ago;拒絕證書[jù jué zhèng shū],拒绝证书[jù jué zhèng shū]
protesto;protes.0o.ago;断言抗议[duàn yán kàng yì],斷言抗議[duàn yán kàng yì]
amasprotesto;protes.amas0o.POL;大規模抗議[dà guī mó kàng yì],大规模抗议[dà guī mó kàng yì]
starprotesto;protes.star0o;守夜[shǒu yè]
starprotesto;protes.star0o;警戒[jǐng jiè]
protestanta;protes1.0a;新教徒[xīn jiào tú]
protestantismo;protes1.0ismo;基督新教[Jī dū Xīn jiào]
protestantismo;protes1.0ismo;新教[Xīn jiào]
protestantismo;protes1.0ismo;耶稣教[Yē sū jiào],耶穌教[Yē sū jiào]
protestantismo;protes1.0ismo;基督新教[jī dū xīn jiào]
protestanto;protes1.0o.KRI;新教徒[xīn jiào tú]
protezo;protez.0o;义肢[yì zhī],義肢[yì zhī]
protezo;protez.0o;弥补[mí bǔ],彌補[mí bǔ]
protezo;protez.0o;假肢[jiǎ zhī]
protezo;protez.0o;加音法[jiā yīn fǎ]
protezo;protez.0o;添字首音[tiān zì shǒu yīn]
protokoli;protok.0i;做記錄[zuò jì lù],做记录[zuò jì lù]
protokolo;protok.0o;外交礼仪[wài jiāo lǐ yí],外交禮儀[wài jiāo lǐ yí]
protokolo;protok.0o;日志[rì zhì],日誌[rì zhì]
protokolo;protok.0o;網絡傳輸協議[wǎng luò chuán shū xié yì],网络传输协议[wǎng luò chuán shū xié yì]
protokolo;protok.0o;筒化記錄[tǒng huà jì lù],筒化记录[tǒng huà jì lù]
vivprotokolo;protok.viv0o;简历[jiǎn lì],簡歷[jiǎn lì]
vivprotokolo;protok.viv0o;履历[lǔ: lì],履歷[lǔ: lì]
vivprotokolo;protok.viv0o;履历表[lǔ: lì biǎo],履歷表[lǔ: lì biǎo]
vivprotokolo;protok.viv0o;摘由[zhāi yóu]
vivprotokolo;protok.viv0o;个人简历[gè rén jiǎn lì],個人簡歷[gè rén jiǎn lì]
vivprotokolo;protok.viv0o;履历[lǚ lì],履歷[lǚ lì]
vivprotokolo;protok.viv0o;生活經歷[shēng huó jīng lì],生活经历[shēng huó jīng lì]
vivprotokolo;protok.viv0o;履历片[lǔ: lì piàn],履歷片[lǔ: lì piàn]
protono;proton.0o;質子[zhí zǐ],质子[zhí zǐ]
protoplasmo;protop.0o;原生質[yuán shēng zhì],原生质[yuán shēng zhì]
protoplasmo;protop.0o;原形質[yuán xíng zhí],原形质[yuán xíng zhí]
prototipo;protot.0o;原型[yuán xíng]
prototipo;protot.0o;样板[yàng bǎn],樣板[yàng bǎn]
prototipo;protot.0o;典型[diǎn xíng]
prototipo;protot.0o;样机[yàng jī],樣機[yàng jī]
prototipo;protot.0o;雏形产品[chú xíng chǎn pǐn],雛形產品[chú xíng chǎn pǐn]
prototipo;protot.0o;模範[mó fàn],模范[mó fàn]
prototipo;protot.0o;雏形机[chú xíng jī],雛形機[chú xíng jī]
protozoo;protoz.0o;原虫[yuán chóng],原蟲[yuán chóng]
protozoo;protoz.0o;原生动物门[yuán shēng dòng wù mén],原生動物門[yuán shēng dòng wù mén]
protruda;protrud.0a;凸起[tū qǐ]
protruda;protrud.0a;圆鼓鼓[yuán gǔ gǔ],圓鼓鼓[yuán gǔ gǔ]
provadi;prov.0adi;做实验[zuò shí yàn],做實驗[zuò shí yàn]
provado;prov.0ado;試驗[shì yàn],试验[shì yàn]
provado;prov.0ado;嘗試[cháng shì],尝试[cháng shì]
provado;prov.0ado;試車[shì chē],试车[shì chē]
provado;prov.0ado;测试[cè shì],測試[cè shì]
provaĵo;;标本[biāo běn],標本[biāo běn]
provi;prov.0i;試驗[shì yàn],试验[shì yàn]
provi;prov.0i;試用[shì yòng],试用[shì yòng]
provi;prov.0i;嘗試[cháng shì],尝试[cháng shì]
provi;prov.0i;試圖[shì tú],试图[shì tú]
provi;prov.0i;驗[yàn],验[yàn]
provi;prov.0i;考驗[kǎo yàn],考验[kǎo yàn]
provi;prov.0i;試行[shì xíng],试行[shì xíng]
provi;prov.0i;試[shì],试[shì]
provi;prov.0i;設法[shè fǎ],设法[shè fǎ]
provi;prov.0i;嘗嘗[cháng chang],尝尝[cháng chang]
provi;prov.0i;攷[kǎo]
provi;prov.0i;尝[cháng],甞[cháng]
provi;prov.0i;試試看[shì shì kàn],试试看[shì shì kàn]
provilo;prov.0ilo;試金石[shì jīn shí],试金石[shì jīn shí]
provo;prov.0o;試車[shì chē],试车[shì chē]
provo;prov.0o;实验[shí yàn],實驗[shí yàn]
provo;prov.0o;試驗[shì yàn],试验[shì yàn]
provo;prov.0o;嘗試[cháng shì],尝试[cháng shì]
provo;prov.0o;测试[cè shì],測試[cè shì]
elprovi;prov.el0i;試用[shì yòng],试用[shì yòng]
elprovi;prov.el0i;試行[shì xíng],试行[shì xíng]
