fabo;fab.0o.BOT;蚕豆[cán dòu]
sunfloro;flor.sun0o;轉日蓮[zhuǎn rì lián]
sunfloro;flor.sun0o;向阳花[xiàng yáng huā]
sunfloro;flor.sun0o;太阳花[tài yáng huā]
sunfloro;flor.sun0o;朝阳花[cháo yáng huā]
sunfloro;flor.sun0o;向日葵[xiàng rì kuí]
Florenco;florenc.0o;佛罗伦萨[fó luó lún sà]
Floriano;florian.0o;佛罗里安[fó luó lǐ ān]
Florido;;佛罗里达[fó luó lǐ dá]
flosigi;flos.0igi.flosi_tr;飄浮[piāo fú]
flosigi;flos.0igi.flosi_tr;汧[qiān]
floslinio;flos.0linio;舯[zhōng]
floso;flos.0o;筏[fá]
floso;flos.0o;筏子[fá zi]
floso;flos.0o;泭[fú]
floso;flos.0o;棑[pái]
floto;flot.0o;舰队[jiàn duì]
flua;flu.0a;流質[liú zhí]
flua;flu.0a;液[yè]
flua;flu.0a;熔化[róng huà]
fluaĵa;flu.0ajxa;流質[liú zhí]
fluaĵa;flu.0ajxa;液[yè]
fluaĵa;flu.0ajxa;熔化[róng huà]
flueca;flu.0ajxa;流質[liú zhí]
flueca;flu.0ajxa;液[yè]
flueca;flu.0ajxa;熔化[róng huà]
fluaĵo;flu.0ajxo;变移性[biàn yí xìng]
fluaĵo;flu.0ajxo;水質[shuǐ zhí]
fluejo;flu.0ejo;河床[hé chuáng]
flui;flu.0i;泻[xiè]
flui;flu.0i;流[liú]
flui;flu.0i;不断的变化[bù duàn dì biàn huà]
flui;flu.0i;平滑移动[píng huá yí dòng]
flui;flu.0i;巛[chuān]
flui;flu.0i;不稳定[bù wěn dìng]
fluo;flu.0o;潮流[cháo liú]
fluo;flu.0o;大流[dà liú]
fluo;flu.0o;水流[shuǐ liú]
fluo;flu.0o;浪潮[làng cháo]
fluo;flu.0o;流派[liú pài]
alfluo;flu.al0o;合流[hé liú]
alfluo;flu.al0o;流入[liú rù]
deflui;flu.de0i;流出[liú chū]
defluilo;flu.de0ilo;小沟[xiǎo gōu]
defluilo;flu.de0ilo;槽[cáo]
defluilo;flu.de0ilo;沟道[gōu dào]
defluilo;flu.de0ilo;流出物[liú chū wù]
enfluejo;flu.en0ejo;漎[cóng]
forflui;flu.for0i;飛出去[fēi chū qù]
forflui;flu.for0i;启航[qǐ háng]
forflui;flu.for0i;撞坏[zhuàng huài]
forfluo;flu.for0o;流出物[liú chū wù]
forfluo;flu.for0o;外流[wài liú]
forfluo;flu.for0o;渠[qú]
forfluo;flu.for0o;潺[chán]
kontraŭflue;flu.kontraux0e.KOMUNE;逆水行舟[nì shuǐ xíng zhōu]
kontraŭflue;flu.kontraux0e.KOMUNE;溯[sù]
kunflui;flu.kun0i;交匯[jiāo huì]
kunfluiĝi;flu.kun0i;交匯[jiāo huì]
sangalfluo;flu.sangal0o;多血症[duō xuè zhèng]
sangalfluo;flu.sangal0o;充血[chōng xiě]
superflua;flu.super0a;省掉[shěng diào]
superflua;flu.super0a;多余[duō yú]
superflua;flu.super0a;贅[zhuì]
traflueti;flu.tra0eti.KOMUNE;灕[lí]
traflueti;flu.tra0eti.KOMUNE;渗出[shèn chū]
traflueti;flu.tra0eti.KOMUNE;漓[lí]
traflueti;flu.tra0eti.KOMUNE;渗过[shèn guò]
flugi;flug.0i;飛翔[fēi xiáng]
flugi;flug.0i;試飛過[shì fēi guò]
flugi;flug.0i;象飛一樣行動[xiàng fēi yí yàng xíng dòng]
flugi;flug.0i;飛起[fēi qǐ]
flugi;flug.0i;快冲[kuài chōng]
flugi;flug.0i;飛跑[fēi pǎo]
flugi;flug.0i;飛行[fēi xíng]
flugi;flug.0i;颺[yáng]
flugilo;flug.0ilo;胑[zhī]
flugilo;flug.0ilo;翼[yì]
flugo;flug.0o;飛行航班信息[fēi xíng háng bān xìn xī]
flugo;flug.0o;飛行[fēi xíng]
fluidaĵo;fluid.0ajxo;变移性[biàn yí xìng]
fluidaĵo;fluid.0ajxo;水質[shuǐ zhí]
fluidigi;fluid.0igi;液化[yè huà]
fluidigi;fluid.0igi;变为液体[biàn wéi yè tǐ]
fluidigi;fluid.0igi;使变为液体[shǐ biàn wéi yè tǐ]
fluidigi;fluid.0igi;使液化[shǐ yè huà]
fluido;fluid.0o;流体[liú tǐ]
fluktui;fluktu.0i;波动[bō dòng]
fluktui;fluktu.0i;摇摆不定[yáo bǎi bù dìng]
fluktui;fluktu.0i;流动[liú dòng]
fluktuo;fluktu.0o;流动[liú dòng]
fluktuo;fluktu.0o;涨落[zhǎng luò]
fluktuado;fluktu.0o;流动[liú dòng]
fluoro;fluor.0o;芴[wù]
fluoreski;fluore.0i;熒光[yíng guāng]
fluktui;;摇摆不定[yáo bǎi bù dìng]
fluktui;;徘徊[pái huái]
fluoresko;fluore.0o;熒光[yíng guāng]
flusejo;flus.0ejo;潮汐带[cháo xì dài]
flusi;flus.0i;洚[jiàng]
flusi;flus.0i;涌[yǒng]
fluso;flus.0o;张潮[zhāng cháo]
fluso;flus.0o;潮起[cháo qǐ]
fluso;flus.0o;洪流[hóng liú]
fluso;flus.0o;浪潮[làng cháo]
fluso;flus.0o;洚[jiàng]
fluso;flus.0o;泛[fàn]
malfluso;flus.mal0o;退潮[tuì cháo]
malfluso;flus.mal0o;水乾[shuǐ gān]
malfluso;flus.mal0o;水退[shuǐ tuì]
flustri;flustr.0i;叽咕[jī gu]
flustri;flustr.0i;窃窃私语[qiè qiè sī yǔ]
flustri;flustr.0i;咠[qì]
flustri;flustr.0i;呤[líng]
flustri;flustr.0i;聂[niè]
flustri;flustr.0i;打耳喳[dǎ ěr chā]
flustri;flustr.0i;沙沙声[shā shā shēng]
flustri;flustr.0i;悄悄話[qiāo qiāo huà]
flustri;flustr.0i;小話[xiǎo huà]
flustri;flustr.0i;嘀咕[dí gu]
flustri;flustr.0i;密談[mì tán]
flustri;flustr.0i;低語[dī yǔ]
flustro;;低声说话[dī shēng shuō huà]
flustro;;柔和地說話[róu hé de shuō huà]
flustro;;平静地说话[píng jìng de shuō huà]
flustro;;哼唧[hēng ji]
fluti;flut.0i;吹箫[chuī xiāo]
fluti;flut.0i;吹笛[chuī dí]
flutisto;flut.0isto;笛手[dí shǒu]
flutisto;flut.0isto;横笛吹奏者[héng dí chuī zòu zhě]
fluto;flut.0o;笛[dí]
bekfluto;flut.bek0o;牧童笛[mù tóng dí]
bekfluto;flut.bek0o;直笛[zhí dí]
pajnofluto;flut.pajno0o;排萧[pái xiāo]
sakfluto;flut.sak0o;風笛[fēng dí]
transversa fluto;flut.transversa0o;長笛[cháng dí]
fobio;fobi.0o;恐惧症[kǒng jù zhèng]
fobio;fobi.0o;恐惧[kǒng jù]
fremdofobio;fobi.fremdo0o;廉价旅店[lián jià lǚ diàn]
fremdofobio;fobi.fremdo0o;惧外[jù wài]
fremdofobio;;仇外[chóu wài]
foino;foin.0o;石貂[shí diāo]
foiro;foir.0o;交易会[jiāo yì huì]
foiro;foir.0o;展覽會[zhǎn lǎn huì]
foiro;foir.0o;展区[zhǎn qū]
foirejo;;博覽會所在地[bó lǎn huì suǒ zài dì]
foirejo;;展覽地[zhǎn lǎn de]
fojfoje;foj.00e;不时[bù shí]
fojfoje;foj.00e;某时[mǒu shí]
foje;foj.0e.fojfoje;有时侯[yǒu shí hòu]
foje;foj.0e.fojfoje;有时候[yǒu shí hou]
foje;foj.0e.fojfoje;日后[rì hòu]
foje;foj.0e.fojfoje;偶尔[ǒu ěr]
fojo;;一遍[yī biàn]
ankoraŭfoje;;再一次[zài yī cì]
ankoraŭfoje;;再次[zài cì]
ankoraŭfoje;;复[fù]
ankoraŭfoje;;又[yòu]
ankoraŭfoje;;再[zài]
ĉiufjoe;;遭[zāo]
ĉiufjoe;;每当[měi dāng]
ĉiufjoe;;每[měi]
ĉiufjoe;;每次[měi cì]
ĉiufjoe;;次次[cì cì]
ĉiufjoe;;回回[huí hui]
kelkafoje;foj.kelka0e;有时侯[yǒu shí hòu]
kelkafoje;foj.kelka0e;有时候[yǒu shí hou]
kelkafoje;foj.kelka0e;日后[rì hòu]
kelkafoje;foj.kelka0e;偶尔[ǒu ěr]
kelkafoje;foj.kelka0e;某时[mǒu shí]
multfoje;foj.mult0e;很多时[hěn duō shí]
multfoje;foj.mult0e;往往[wǎng wǎng]
multfoje;foj.mult0e;时常[shí cháng]
multfoje;foj.mult0e;屡次[lǚ cì]
multfoje;foj.mult0e;勤[qín]
refoje;foj.re0e;再次[zài cì]
refoje;foj.re0e;再一次[zài yī cì]
refoje;foj.re0e;再[zài]
refoje;foj.re0e;复[fù]
unuafoje;foj.unua0e;首次[shǒu cì]
unuafoje;foj.unua0e;第一次[dì yī cì]
fojero;fojer.0o.SNC;入口大厅[rù kǒu dà tīng]
fojero;fojer.0o.SNC;門廳[mén tīng]
fojero;fojer.0o.SNC;大堂[dà táng]
fojero;fojer.0o.SNC;剧院休息室[jù yuàn xiū xī shì]
fojno;fojn.0o;乾草[gān cǎo]
fojno;fojn.0o;蒭[chú]
foko;fok.0o;海豹[hǎi bào]
fojnado;;收割[shōu gē]
fokedoj;foked.0oj;海豹科[hǎi bào kē]
fokstroto;fokstrot.0o;狐步[hú bù]
fokusi;fokus.0i;对焦点[duì jiāo diǎn]
fokusi;fokus.0i;調焦[tiáo jiāo]
fokusi;fokus.0i;聚焦[jù jiāo]
fokusiĝi;;专注[zhuān zhù]
fokusiĝi;;只管[zhǐ guǎn]
fokuso;fokus.0o;焦点[jiāo diǎn]
fola;;妄[wàng]
foli;fol.0i;使平整[shǐ píng zhěng]
folado;folad.0o;鑽床[zuàn chuáng]
foldi;fold.0i;沟道[gōu dào]
foldo;fold.0o;楔眼[xiē yǎn]
foldo;fold.0o;榫槽[sǔn cáo]
foliaro;foli.0aro.BOT;綠樹[lü shù]
folio;foli.0o.BOT;叶[yè]
folio;foli.0o.BOT;頁[yè]
foliaro;;树或植物叶[shù huò zhí wù yè]
foliaro;;群叶[qún yè]
foliumi;foli.0umi;略讀[lüè dú]
foliumi;foli.0umi;翻动[fān dòng]
foliumi;foli.0umi;流覽[liú lǎn]
foliumi;foli.0umi;翻頁[fān yè]
foliumi;foli.0umi;翻过[fān guò]
trafolii;foli.0umi;翻看[fān kàn]
trafolii;foli.0umi;翻书[fān shū]
trafolii;foli.0umi;翻閱[fān yuè]
foliumilo;;浏览者[liú lǎn zhě]
foliumilo;;浏览器[liú lǎn qì]
florfolio;foli.flor0o;开花的植物[kāi huā de zhí wù]
florfolio;foli.flor0o;瓣[bàn]
flugfolio;foli.flug0o;散頁印刷品[sàn yè yìn shuà pǐn]
flugfolio;foli.flug0o;传单[chuán dān]
trifolio;foli.tri0o;苜蓿草[mù sù cǎo]
trifolio;foli.tri0o;車軸草屬[chē zhóu cǎo shǔ]
trifolio;foli.tri0o;三叶草属[sān yè cǎo shǔ]
trifolio;foli.tri0o;苜[mù]
trifolio;foli.tri0o;三叶草[sān yè cǎo]
foliklo;folikl.0o.ANA;骨突[gǔ tū]
foliklo;folikl.0o.ANA;滤泡[lü pào]
foliklo;folikl.0o.ANA;蓇[gǔ]
foliklo;folikl.0o.ANA;小囊[xiǎo náng]
foliklo;folikl.0o.ANA;蓇葖果[gǔ tú guǒ]
foliklo;folikl.0o.ANA;葖[tú]
folklora;folklo.0a;民間[mín jiān]
folkloristo;;民俗学者[mín sú xué zhě]
folkloristo;;民俗学研究者[mín sú xué yán jiū zhē]
folkloro;folklo.0o;民俗学[mín sú xué]
folkloro;folklo.0o;民間藝術[mín jiān yì shù]
fona;fon.0a.malgrava;宥[yòu]
fona;fon.0a.malgrava;沕[wù]
fona;fon.0a.malgrava;閟[bì]
fona reĝimo;fon.0a_regximo;后台处理[hòu tái chǔ lǐ]
fono;fon.0o;本底[běn dǐ]
fono;fon.0o;來頭[lái tou]
fono;fon.0o;底[dǐ]
fona;;在后台[zài hòu tái]
malfono;fon.mal0o;前面部分[qián mian bù fen]
malfono;fon.mal0o;突出的地位[tū chū de dì wèi]
malfono;fon.mal0o;前景[qián jǐng]
fondaĵo;fond.0ajxo;基金会[jī jīn huì]
fondi;fond.0i;创设[chuàng shè]
fondi;fond.0i;创办[chuàng bàn]
fondi;fond.0i;创始[chuàng shǐ]
fondi;fond.0i;兴办[xīng bàn]
fondi;fond.0i;创建于[chuàng jiàn yú]
fondi;fond.0i;始建[shǐ jiàn]
fondi;fond.0i;奠定[diàn dìng]
fondi;fond.0i;建厂[jiàn chǎng]
fondi;fond.0i;创立[chuàng lì]
fondi;fond.0i;尌[shù]
fondi;fond.0i;成立[chéng lì]
fondinto;fond.0into;漂浮物[piāo fú wù]
fondinto;fond.0into;漂浮者[piāo fú zhě]
fondinto;fond.0into;创立者[chuàng lì zhě]
fondinto;fond.0into;締造者[dì zào zhě]
fondinto;fond.0into;创办者[chuàng bàn zhě]
fondinto;fond.0into;女创立者[nǚ chuàng lì zhě]
fondinto;fond.0into;创立人[chuàng lì rén]
fondinto;fond.0into;起业家[qǐ yè jiā]
fondinto;fond.0into;创始者[chuàng shǐ zhě]
fondinto;fond.0into;创办人[chuàng bàn rén]
fondo;fond.0o;柢[dǐ]
fondo;fond.0o;基[jī]
fondiĝo;fond.0o;柢[dǐ]
fondiĝo;fond.0o;基[jī]
fonduo;fondu.0o;涮[shuàn]
fonduo;fondu.0o;芝士火鍋[zhī shì huǒ guō]
fonduso;fondus.0o;資金[zī jīn]
fonemo;fonem.0o;音值[yīn zhí]
fonemo;fonem.0o;音位[yīn wèi]
fonemo;fonem.0o;音素[yīn sù]
fonetika;foneti.0a.konforma;表音[biǎo yīn]
fonetiko;foneti.0o;語音學[yǔ yīn xué]
fonografo;fonogr.0o;留声机[liú shēng jī]
fonologio;fonologi.0o;音韵学[yīn yùn xué]
fonti;font.0i;发源于[fā yuán yú]
fonti;font.0i;起于[qǐ yú]
fonti;font.0i;來源於[lái yuán yú]
fonti;font.0i;弹起来[dàn qǐ lai]
fonti;font.0i;发源[fā yuán]
fonti;font.0i;崛起[jué qǐ]
fonti;font.0i;腾[téng]
fonti;font.0i;源于[yuán yú]
fonto;font.0o;源[yuán]
fonto;font.0o;來源[lái yuán]
fonto;font.0o;資料來源[zī liào lái yuán]
fonto;font.0o;泉[quán]
fonto;font.0o;水源[shuǐ yuán]
fonto;font.0o;泉水[quán shuǐ]
fonto;font.0o;索尔斯[suǒ ěr sī]
fonto;font.0o;泉源[quán yuán]
fonto;font.0o;数据来源[shù jù lái yuán]
fonto;font.0o;出处[chū chù]
varmfonto;font.varm0o.GEOL;公共浴室[gōng gòng yù shì]
varmofonto;font.varm0o.GEOL;公共浴室[gōng gòng yù shì]
fontano;;喷泉[pēn quán]
forforejo;for.00ejo;荒地[huāng dì]
fora;for.0a.KOMUNE;緬[miǎn]
fora;for.0a.KOMUNE;远隔[yuǎn gé]
fora;for.0a.KOMUNE;渺[miǎo]
fora;for.0a.KOMUNE;逴[chuò]
fora;for.0a.KOMUNE;遐[xiá]
fora;for.0a.KOMUNE;渺茫[miǎo máng]
fora;for.0a.KOMUNE;辽[liáo]
fore;for.0e;远离[yuǎn lí]
fore;for.0e;僻[pì]
forigi;for.0igi;慾刪除[yù shān chú]
forigi;for.0igi;慾移動[yù yí dòng]
forigi;for.0igi;远距离[yuǎn jù lí]
forigi;for.0igi;离去[lí qù]
forigi;for.0igi;疏远[shū yuǎn]
forigi;for.0igi;移除[yí chú]
forigi;for.0igi;淸除[qīng chú]
forigi;for.0igi;撤[chè]
forigi;for.0igi;除去[chú qù]
forigi;for.0igi;消去[xiāo qù]
forigi;for.0igi;去除[qù chú]
forigi;for.0igi;汰[tài]
forigi;for.0igi;淘[táo]
forigi;for.0igi;轍[chè]
foriĝi;for.0igxi;消失[xiāo shī]
foro;for.0o;远国[yuǎn guó]
foro;for.0o;遙遠的過去將來[yáo yuǎn de guò qu jiāng lái]
foro;for.0o;遙遠[yáo yuǎn]
foro;for.0o;远方[yuǎn fāng]
defora;for.de0a.TEK;从远方[cóng yuǎn fāng]
defora;for.de0a.TEK;不远万里[bù yuǎn wàn lǐ]
forceja efiko;forc.0ejaefiko;温室效应[wēn shì xiào yìng]
forcejo;forc.0ejo;暖房[nuǎn fáng]
forcejo;forc.0ejo;暖室[nuǎn shì]
forcejo;forc.0ejo;温室[wēn shì]
forcepso;forcep.0o;鑷[niè]
forfikulo;forfik.0o;耳夹子虫[ěr jiā zǐ chóng]
forgesema;forges.0ema;善忘[shàn wàng]
forgesema;forges.0ema;易亡[yì wáng]
forgesema;forges.0ema;健忘[jiàn wàng]
forgesema;forges.0ema;糊塗[hú tu]
forgeso;forges.0o;遗忘[yí wàng]
memforgeso;forges.mem0o.malegosimo;不自私[bú zì sī]
memforgeso;forges.mem0o.malegosimo;无欲[wú yù]
memforgeso;forges.mem0o.malegosimo;无私[wú sī]
sinforgeso;forges.mem0o.malegosimo;不自私[bú zì sī]
sinforgeso;forges.mem0o.malegosimo;无欲[wú yù]
sinforgeso;forges.mem0o.malegosimo;无私[wú sī]
neforgesebla;forges.ne0ebla;难忘[nán wàng]
neforgesebla;forges.ne0ebla;忘不了[wàng bù liǎo]
neforgesebla;forges.ne0ebla;成癖[chéng pǐ]
neforgesebla;forges.ne0ebla;令人难忘[lìng rén nán wàng]
neforgesebla;forges.ne0ebla;永銘於心[yǒng míng yú xīn]
neforgesumino;forges.ne0umino;勿忘草[wù wàng cǎo]
senforgese;forges.sen0e.KOMUNE;有責任心[yǒu zé rèn xīn]
forĝi;forgx.0i;鍛[duàn]
forĝi;forgx.0i;鍛造[duàn zào]
forĝi;forgx.0i;錘打[chuí dǎ]
forĝisto;forgx.0isto;鐵匠[tiě jiang]
kunforĝi;forgx.kun0i;使結合[shǐ jié hé]
forinto;forint.0o;福林[fú lín]
forkego;fork.0ego;粪耙[fèn bà]
forkego;fork.0ego;探听丑闻[tàn tīng chǒu wén]
forkego;fork.0ego;粪叉子[fèn chā zi]
forkego;fork.0ego;堆肥用耙[duī féi yòng bà]
forkego;fork.0ego;揭开丑闻[jiē kāi chǒu wén]
forkego;fork.0ego;揭发丑闻[jiē fā chǒu wén]
forkego;fork.0ego;草耙[cǎo bà]
forkego;fork.0ego;干草叉[gàn cǎo chā]
forkego;fork.0ego;杈[chā]
forko;fork.0o;叉子[chā zi]
forko;fork.0o;叉[chā]
forkiĝi;;发枝[fā zhī]
vojforko;fork.voj0o;丫[yā]
vojforko;fork.voj0o;桠[yā]
vojforko;fork.voj0o;岔路口[chà lù kǒu]
vojforko;fork.voj0o;交叉路口[jiāo chā lù kǒu]
formado;form.0ado;素养[sù yǎng]
formado;form.0ado;設立[shè lì]
formaĵo;form.0ajxo;制模[zhì mó]
formi;form.0i;建模[jiàn mó]
formi;form.0i;成型[chéng xíng]
formi;form.0i;使成型[shǐ chéng xíng]
formi;form.0i;造形[zào xíng]
formi;form.0i;表格紙[biǎo gé zhǐ]
formi;form.0i;空表格[kōng biǎo gé]
formi;form.0i;結成[jié chéng]
formi;form.0i;形像[xíng xiàng]
formi;form.0i;构[gòu]
formi;form.0i;打制[dǎ zhì]
formitaĵo;form.0itajxo;形成之物或机构[xíng chéng zhī wù huò jī gòu]
formo;form.0o;形式[xíng shì]
alformiĝi;form.al0igxi;变通[biàn tōng]
alformiĝi;form.al0igxi;融合[róng hé]
aliformi;form.ali0i;化[huà]
aliformi;form.ali0i;使变形[shǐ biàn xíng]
aliformi;form.ali0i;使变化[shǐ biàn huà]
aliformi;form.ali0i;更改[gēng gǎi]
aliformi;form.ali0i;轉換[zhuǎn huàn]
aliformi;form.ali0i;改变[gǎi biàn]
diferenciala formo;form.diferenciala0o;微分形式[wēi fēn xíng shì]
karesformo;form.kares0o;愛稱[ài chēng]
longoforma;form.longo0a;稍長[shāo zhǎng]
longoforma;form.longo0a;略長[lüè cháng]
longforma;form.longo0a;稍長[shāo zhǎng]
longforma;form.longo0a;略長[lüè cháng]
misformi;;外形难看[wài xíng nán kàn]
misformi;;宠坏[chǒng huài]
misformi;;走样[zǒu yàng]
misformi;;弄歪[nòng wāi]
plenforma;form.plen0a;完全[wán quán]
reformi;form.re0i;重整[chóng zhěng]
reformismo;form.re0ismo;改良主义[gǎi liáng zhǔ yì]
reformisto;form.re0isto;改良主义者[gǎi liáng zhǔ yì zhě]
samformi;;平滑[píng huá]
samformi;;平坦[píng tǎn]
transformilo;form.trans0ilo;变压器[biàn yā qì]
transformo;form.trans0o;变身[biàn shēn]
transformo;form.trans0o;轉換[zhuǎn huàn]
transformo;form.trans0o;轉變[zhuǎn biàn]
transformo;form.trans0o;嬗变[shàn biàn]
transformo;form.trans0o;变化[biàn huà]
unuforma;form.unu0a;具有同型結構[jù yǒu tóng xíng jié gòu]
unuforma;form.unu0a;连声[lián shēng]
unuforma;;齊整[qí zhěng]
formacio;formac.0o.GEOL;要素的結構[yào sù de jié gòu]
formalaĵo;formal.0ajxo;正式流程[zhèng shì liú chéng]
formalaĵo;formal.0ajxo;礼仪[lǐ yí]
formalaĵo;formal.0ajxo;技术细节[jì shù xì jié]
formalaĵo;formal.0ajxo;专门的事项[zhuān mén de shì xiàng]
formalaĵo;formal.0ajxo;专门性[zhuān mén xìng]
formalaĵo;formal.0ajxo;礼节[lǐ jié]
formalaĵo;formal.0ajxo;手續[shǒu xù]
formala;;形式上[xíng shì shàng]
malformala;formal.mal0a;沒有形狀[méi yǒu xíng zhuàng]
malformala;formal.mal0a;无定形[wú dìng xíng]
malformala;formal.mal0a;非正式[fēi zhèng shì]
formaldehido;formal1.0o;甲醛[jiǎ quán]
formikejo;formik.0ejo;垤[dié]
formiko;formik.0o.KOMUNE;蚂[mǎ]
formiko;formik.0o.KOMUNE;螘[yǐ]
formiko;formik.0o.KOMUNE;蚂蚁[mǎ yǐ]
formiko;formik.0o.KOMUNE;蚁[yǐ]
formolo;formol.0o;福馬林[fú mǎ lín]
formolo;formol.0o;甲醛水[jiǎ quán shuǐ]
formularo;formul.0aro.POL;登記錶[dēng jì biǎo]
formularo;formul.0aro.POL;单[dān]
formulo;formul.0o.vorta;提法[tí fǎ]
formulo;formul.0o.vorta;简洁陈述[jiǎn jié chén shù]
formulo;formul.0o.vorta;公式化[gōng shì huà]
formulo;formul.0o.vorta;說法[shuō fa]
formulo;formul.0o.simbola;程試[chéng shì]
formulo;formul.0o.simbola;式子[shì zi]
formulo;formul.0o.simbola;客套話[kè tào huà]
formulo;formul.0o.simbola;程[chéng]
sorĉformulo;formul.sorcx0o;拼[pīn]
fornego;forn.0ego;高炉[gāo lú]
forno;forn.0o;烤炉[kǎo lú]
altforno;;高炉[gāo lú]
bakforno;;烘箱[hōng xiāng]
bakforno;;烤箱[kǎo xiāng]
bakforno;;炉子[lú zi]
bakforno;;火炉[huǒ lú]
fandforno;forn.fand0o;高炉[gāo lú]
hejtoforno;;炉火取暖[lú huǒ qǔ nuǎn]
hejtoforno;;烧煤取暖[shāo méi qǔ nuǎn]
kuirforno;;灶[zào]
kuirforno;;垆[lú]
fornelo;fornel.0o;灶[zào]
fornelo;fornel.0o;炉灶[lú zào]
fornelo;fornel.0o;炉[lú]
elektrofornelo;fornel.elektro0o;电炉灶[diàn lú zào]
gasfornelo;fornel.gas0o;燃气灶[rán qì zào]
gasfornelo;fornel.gas0o;煤气灶[méi qì zào]
gasfornelo;fornel.gas0o;瓦斯炉[wǎ sī lú]
gasa fornelo;fornel.gas0o;燃气灶[rán qì zào]
gasa fornelo;fornel.gas0o;煤气灶[méi qì zào]
gasa fornelo;fornel.gas0o;瓦斯炉[wǎ sī lú]
karbofornelo;fornel.karbo0o;煤灶[méi zào]
fornikso;fornik.0o;穹窿[qiōng lóng]
fornikso;fornik.0o;拱頂[gǒng dǐng]
fornikso;fornik.0o;山凹[shān wā]
fornikso;fornik.0o;拱形結構[gǒng xíng jié gòu]
forsitio;forsiti.0o;连翘[lián qiáo]
forsto;forst.0o;森[sēn]
forsto;forst.0o;森林[sēn lín]
forta;fort.0a;強[qiǎng]
forta;fort.0a;強壯[qiáng zhuàng]
forta;fort.0a;敃[mǐn]
forta;fort.0a;刚健[gāng jiàn]
forta;fort.0a;壮[zhuàng]
forta;fort.0a;劲[jìng]
forta;fort.0a;雄健[xióng jiàn]
forta;fort.0a;坚牢[jiān láo]
forta;fort.0a;精壮[jīng zhuàng]
forta;fort.0a;重地[zhòng dì]
forta;fort.0a;硬实[yìng shí]
forta;fort.0a;壮硕[zhuàng shuò]
forta;fort.0a;坚毅地[jiān yì de]
forta;fort.0a;刚劲[gāng jìng]
forta;fort.0a;健全[jiàn quán]
forta;fort.0a;遒[qiú]
fortega;fort.0ega;上脸[shàng liǎn]
fortega;fort.0ega;横[hèng]
fortega;fort.0ega;巨大[jù dà]
fortigi;fort.0igi;棐[fěi]
fortigi;fort.0igi;壮大[zhuàng dà]
fortigi;fort.0igi;健[jiàn]
fortigi;fort.0igi;坚强[jiān qiáng]
fortigi;fort.0igi;加强[jiā qiáng]
fortigi;fort.0igi;增強[zēng qiáng]
fortigi;fort.0igi;淀粉构成[diàn fěn gòu chéng]
fortigi;fort.0igi;恢复精力[huī fù jīng lì]
fortigi;fort.0igi;使強壯[shǐ qiáng zhuàng]
fortigi;fort.0igi;使精力充沛[shǐ jīng lì chōng pèi]
fortigi;fort.0igi;恢复体力[huī fù tǐ lì]
fortigi;fort.0igi;面糊[miàn hú]
fortigi;fort.0igi;浆[jiāng]
forto;fort.0o.solideco;坚固性[jiān gù xìng]
forto;fort.0o.solideco;安定性[ān dìng xìng]
forto;fort.0o.solideco;持久性[chí jiǔ xìng]
forto;fort.0o.solideco;屹立不移[yì lì bù yí]
forto;fort.0o.solideco;恆久不變[héng jiǔ bù biàn]
forto;fort.0o.kapablo;力量[lì liang]
forto;fort.0o.kapablo;威力[wēi lì]
forto;fort.0o.kapablo;救援力量[jiù yuán lì liang]
forto;fort.0o.kapablo;救援队[jiù yuán duì]
forto;fort.0o.kapablo;德[dé]
forto;fort.0o.kapablo;強[qiáng]
forto;fort.0o.kapablo;精[jīng]
forto;fort.0o.kapablo;生命力[shēng mìng lì]
forto;fort.0o.kapablo;元气[yuán qì]
forto;fort.0o.kapablo;体气[tǐ qì]
forto;fort.0o.intenseco;強度[qiáng dù]
forto;fort.0o.intenseco;明暗度[míng àn dù]
forto;fort.0o.intenseco;密集度[mì jí dù]
forto;fort.0o.intenseco;烈度[liè dù]
forto;fort.0o.intenseco;強烈[qiáng liè]
ĉiuforte;fort.cxiu0e;全力地[quán lì de]
ĉiuforte;fort.cxiu0e;不遗余力地[bù yí yú lì de]
ĉiuforte;fort.cxiu0e;肆力[sì lì]
ĉiuforte;fort.cxiu0e;全力以赴[quán lì yǐ fù]
ĉiuforte;fort.cxiu0e;拼命[pīn mìng]
inertoforto;fort.inerto0o.FIZ;惯力[guàn lì]
inertoforto;fort.inerto0o.FIZ;惯性力[guàn xìng lì]
malforta;fort.mal0a;虚弱[xū ruò]
malforta;fort.mal0a;幽微[yōu wēi]
malforta;fort.mal0a;模糊地[mó hu de]
malforta;fort.mal0a;体力不支[tǐ lì bù zhī]
malforta;fort.mal0a;疲軟[pí ruǎn]
malforta;fort.mal0a;尪[wāng]
malforta;fort.mal0a;沒勁[méi jìn]
malforta;fort.mal0a;病弱[bìng ruò]
malforta;fort.mal0a;昏厥[hūn jué]
malfortaĵo;fort.mal0ajxo;性格軟弱[xìng gé ruǎn ruò]
malfortaĵo;fort.mal0ajxo;弱[ruò]
malforteco;fort.mal0ajxo;弱[ruò]
malforteco;fort.mal0ajxo;微弱[wēi ruò]
malforteco;fort.mal0ajxo;劣势[liè shì]
malforteco;fort.mal0ajxo;性格軟弱[xìng gé ruǎn ruò]
malfortigi;fort.mal0igi;弱化[ruò huà]
malfortigi;fort.mal0igi;削弱[xuē ruò]
