-o;o.0;头[tou],頭[tou]
ortopediisto;ortope.0isto;矫形医生[jiǎo xíng yī shēng],矯形醫生[jiǎo xíng yī shēng]
ortopedio;ortope.0o;骨科[gǔ kē]
ortopedio;ortope.0o;整形外科[zhěng xíng wài kē]
ortopedo;ortoped.0o;整形外科医师[zhěng xíng wài kē yī shī],整形外科醫師[zhěng xíng wài kē yī shī]
ortopteroj;ortopter.0oj;直翅目[zhí chì mù]
Osako;osak.0o;大阪[Dà bǎn]
oscedi;osced.0i;张口[zhāng kǒu],張口[zhāng kǒu]
oscedi;osced.0i;打哈欠[dǎ hā qian]
oscedi;osced.0i;呿[qū]
oscedi;osced.0i;打呵欠[dǎ hē qiàn]
oscili;oscil.0i;摆动[bǎi dòng],擺動[bǎi dòng]
oscili;oscil.0i;搖擺[yáo bǎi],摇摆[yáo bǎi]
oscili;oscil.0i;振荡[zhèn dàng],振蕩[zhèn dàng]
oscilatoro;oscila.0o;振荡器[zhèn dàng qì],振蕩器[zhèn dàng qì]
oscilatoro;oscila.0o;振动器[zhèn dòng qì],振動器[zhèn dòng qì]
oscilatoro;oscila.0o;振动者[zhèn dòng zhě],振動者[zhèn dòng zhě]
oscilatoro;oscila.0o;发振器[fā zhèn qì],發振器[fā zhèn qì]
oscilatoro;oscila.0o;振子[zhèn zǐ]
osciloskopo;osciloskop.0o.ELE;示波器[shì bō qì]
oseto;oset.0o;奥塞梯人[ào sāi tī rén],奧塞梯人[ào sāi tī rén]
Osetio;oseti.0o;奥塞梯[Ào sè tī],奧塞梯[Ào sè tī]
Oskaro;oskar.0o;奥斯卡[Ào sī kǎ],奧斯卡[Ào sī kǎ]
Oskaro;;奥斯卡[ào sī kǎ],奧斯卡[ào sī kǎ]
osmanida;osman.0ida;奥斯曼人的[ào sī màn rén de],奧斯曼人的[ào sī màn rén de]
Osmanido;osman.0ido;奥斯曼[Ào sī màn],奧斯曼[Ào sī màn]
osmanto;osmant.0o;桂[guì]
osmanto;osmant.0o;樨[xī]
osmio;osmi.0o;鋨[é],锇[é]
osmozo;osmoz.0o;渗透[shèn tòu],滲透[shèn tòu]
osmozo;osmoz.0o;渗透作用[shèn tòu zuò yòng],滲透作用[shèn tòu zuò yòng]
osta;ost.0a;瘦骨棱棱[shòu gǔ léng léng]
ostaro;ost.0aro;骸骨[hái gǔ]
ostaro;ost.0aro;骨骼[gǔ gé]
ostaro;ost.0aro;骨头架子[gǔ tou jià zi],骨頭架子[gǔ tou jià zi]
ostaro;ost.0aro;骨架[gǔ jià]
ostaro;ost.0aro;白骨[bái gǔ]
osto;ost.0o;骨[gǔ]
osto;ost.0o;骨头[gǔ tou],骨頭[gǔ tou]
osto;ost.0o;骨骼[gǔ gé]
osto;ost.0o;冎[guǎ]
osto;ost.0o;搖枕弔[yáo zhěn diào],摇枕吊[yáo zhěn diào]
osto;ost.0o;骨头[gú tou],骨頭[gú tou]
fiŝosto;ost.fisx0o;魚骨[yú gǔ],鱼骨[yú gǔ]
fiŝosto;ost.fisx0o;骾[gěng]
fiŝosto;ost.fisx0o;魚刺[yú cì],鱼刺[yú cì]
fiŝosto;ost.fisx0o;鯁[gěng],鲠[gěng]
fiŝosto;ost.fisx0o;挭[gěng]
ĝisosta;ost.gxis0a.FIG;彻骨[chè gǔ],徹骨[chè gǔ]
ĝisosta;ost.gxis0a.FIG;激进[jī jìn],激進[jī jìn]
pubosto;ost.pub0o;恥骨[chǐ gǔ],耻骨[chǐ gǔ]
pubosto;ost.pub0o;交骨[jiāo gǔ]
pubosto;ost.pub0o;横骨[héng gǔ],橫骨[héng gǔ]
vangosto;ost.vang0o;馗[kuí]
vangosto;ost.vang0o;顴[quán],颧[quán]
ostaĝo;ostagx.0o;人質[rén zhì],人质[rén zhì]
ostaĝo;ostagx.0o;質[zhì],质[zhì]
ostaĝo;ostagx.0o;肉票[ròu piào]
osteoporozo;osteoporoz.0o;骨質疏鬆症[gǔ zhí shū sōng zhèng],骨质疏松症[gǔ zhí shū sōng zhèng]
osteoporozo;osteoporoz.0o;骨質疏鬆症[gǔ zhì shū sōng zhèng],骨质疏松症[gǔ zhì shū sōng zhèng]
osteoporozo;osteoporoz.0o;骨質疏鬆[gǔ zhì shū sōng],骨质疏松[gǔ zhì shū sōng]
ostoporozo;ostoporoz.0o;骨質疏鬆症[gǔ zhí shū sōng zhèng],骨质疏松症[gǔ zhí shū sōng zhèng]
ostoporozo;ostoporoz.0o;骨質疏鬆症[gǔ zhì shū sōng zhèng],骨质疏松症[gǔ zhì shū sōng zhèng]
ostoporozo;ostoporoz.0o;骨質疏鬆[gǔ zhì shū sōng],骨质疏松[gǔ zhì shū sōng]
ostro;ostr.0o;牡蛎[mǔ lì],牡蠣[mǔ lì]
ostro;ostr.0o;蚝[háo],蠔[háo]
ostro;ostr.0o;蛎[lì],蠣[lì]
Osvaldo;osvald.0o.NOM;奥斯瓦尔德[ào sī wǎ ěr dé],奧斯瓦爾德[ào sī wǎ ěr dé]
Otavo;otav.0o.cxefurbo;渥太华[Wò tài huá],渥太華[Wò tài huá]
otido;otid.0o.ZOO;鴇[bǎo],鸨[bǎo]
malgranda otido;otid.malgranda0o;小鴇[xiǎo bǎo],小鸨[xiǎo bǎo]
otito;otit.0o;中耳炎[zhōng ěr yán]
otito;otit.0o;外耳炎[wài ěr yán]
otomana;otoman.0a;奥斯曼[Ào sī màn],奧斯曼[Ào sī màn]
otorinolaringologo;otorinolaringolog.0o.MED;喉鼻耳科大夫[hóu bí ěr kē dài fu]
otorinolaringologo;otorinolaringolog.0o.MED;耳鼻喉医生[ěr bí hóu yī shēng],耳鼻喉醫生[ěr bí hóu yī shēng]
otorinolaringologio;otorinolaringologi.0o;耳鼻咽喉[ěr bí yān hóu]
ovaĵo;ov.0ajxo;摊鸡蛋[tān jī dàn],攤雞蛋[tān jī dàn]
ovaĵo;ov.0ajxo;炒蛋[chǎo dàn]
ovaĵo;ov.0ajxo;炒雞蛋[chǎo jī dàn],炒鸡蛋[chǎo jī dàn]
ovaĵo;ov.0ajxo;煎蛋卷[jiān dàn juǎn]
ovingo;ov.0ingo;蛋杯[dàn bēi]
ovo;ov.0o;卵[luǎn]
ovo;ov.0o;蛋[dàn]
ovaĵo;;荷包蛋[hé bāo dàn]
ovujo;ov.0ujo;卵巢[luǎn cháo]
ovujo;ov.0ujo;卵巢窝[luǎn cháo wō],卵巢窩[luǎn cháo wō]
ovujo;ov.0ujo;子房[zǐ fáng]
kirlovaĵo;ov.kirl0ajxo;欧姆蛋[ōu mǔ dàn],歐姆蛋[ōu mǔ dàn]
kirlovaĵo;ov.kirl0ajxo;奄列[yǎn liè]
kirlovaĵo;ov.kirl0ajxo;煎蛋卷[jiān dàn juǎn]
kirlovaĵo;ov.kirl0ajxo;蛋包[dàn bāo]
kirlovaĵo;ov.kirl0ajxo;煎蛋卷[jiān dàn juǎn],煎蛋捲[jiān dàn juǎn]
kirlovaĵo;ov.kirl0ajxo;純蛋捲[chún dàn juǎn],纯蛋卷[chún dàn juǎn]
kirlovaĵo;ov.kirl0ajxo;活力蛋餅[huó lì dàn bǐng]
kirlovaĵo;;炒蛋[chǎo dàn]
ovacii;ovaci.0i;喝彩[hē cǎi]
ovacii;ovaci.0i;喝采[hè cǎi]
ovala;oval.0a;卵形[luǎn xíng]
ovala;oval.0a;椭圆[tuǒ yuán],橢圓[tuǒ yuán]
ovala;oval.0a;椭圆形[tuǒ yuán xíng],橢圓形[tuǒ yuán xíng]
ovala;oval.0a;椭[tuǒ],橢[tuǒ]
ovala;oval.0a;卵圆[luǎn yuán],卵圓[luǎn yuán]
ovala;oval.0a;卵圆形[luǎn yuán xíng],卵圓形[luǎn yuán xíng]
ovala;oval.0a;蛋形[dàn xíng]
ovalo;oval.0o;椭圆形[tuǒ yuán xíng],橢圓形[tuǒ yuán xíng]
ovalo;oval.0o;卵圆[luǎn yuán],卵圓[luǎn yuán]
ovario;ovari.0o;卵巢[luǎn cháo]
ovario;ovari.0o;卵巢窝[luǎn cháo wō],卵巢窩[luǎn cháo wō]
ovario;ovari.0o;子房[zǐ fáng]
Overiselo;overise.O0o;上艾瑟尔[Shàng ài sè ěr],上艾瑟爾[Shàng ài sè ěr]
ovri;ovr.0i;撬开[qiào kāi],撬開[qiào kāi]
ovri;ovr.0i;攋[là]
ovri;ovr.0i;奓[zhà]
ovri;ovr.0i;捭[bǎi]
ovolo;ovul.0o;卵子[luǎn zǐ]
ovolo;ovul.0o;胚珠[pēi zhū]
ovolo;ovul.0o;卵細胞[luǎn xì bāo],卵细胞[luǎn xì bāo]
Oziriso;oziris.0o;欧西里斯[ōu xī lǐ sī],歐西裡斯[ōu xī lǐ sī]
ozono;ozon.0o;臭氧[chòu yǎng]
