rabaĵo;rab.0ajxo;贓[zāng],赃[zāng]
Interreto;ret.Inter0o.KOMP;互联网[Hù lián wǎng],互聯網[Hù lián wǎng]
Interreto;ret.Inter0o.KOMP;網際網路[wǎng jì wǎng lù],网际网路[wǎng jì wǎng lù]
Interreto;ret.Inter0o.KOMP;电脑网[diàn nǎo wǎng],電腦網[diàn nǎo wǎng]
Interreto;ret.Inter0o.KOMP;国际互联网络[guó jì hù lián wǎng luò],國際互聯網絡[guó jì hù lián wǎng luò]
Interreto;ret.Inter0o.KOMP;因特網[Yīn tè wǎng],因特网[Yīn tè wǎng]
Interreto;ret.Inter0o.KOMP;国际互联网[guó jì hù lián wǎng],國際互聯網[guó jì hù lián wǎng]
Interreto;ret.Inter0o.KOMP;国际网络[guó jì wǎng luò],國際網絡[guó jì wǎng luò]
Interreto;ret.Inter0o.KOMP;網絡[Wǎng luò],网络[Wǎng luò]
Interreto;ret.Inter0o.KOMP;網路[wǎng lù],网路[wǎng lù]
Interreto;ret.Inter0o.KOMP;網際網絡[wǎng jì wǎng luò],网际网络[wǎng jì wǎng luò]
Reteto;ret.R0o;網罟座[Wǎng gǔ zuò],网罟座[Wǎng gǔ zuò]
eksterrete;ret.ekster0e.KOMP;脫機[tuō jī],脱机[tuō jī]
eksterrete;ret.ekster0e.KOMP;下線[xià xiàn],下线[xià xiàn]
eksterrete;ret.ekster0e.KOMP;落網[luò wǎng],落网[luò wǎng]
eksterrete;ret.ekster0e.KOMP;离线[lí xiàn],離線[lí xiàn]
enretigi;ret.en0igi.KOMP;上載[shàng zài],上载[shàng zài]
fiŝreto;ret.fisx0o;渔网[yú wǎng],漁網[yú wǎng]
fiŝreto;ret.fisx0o;罽[jì]
fiŝreto;ret.fisx0o;網羅[wǎng luó],网罗[wǎng luó]
fiŝreto;ret.fisx0o;罱[lǎn]
fiŝreto;ret.fisx0o;魚網[yú wǎng],鱼网[yú wǎng]
interreto;;公網[gōng wǎng],公网[gōng wǎng]
komputila reto;ret.komputila0o;电脑网[diàn nǎo wǎng],電腦網[diàn nǎo wǎng]
komputila reto;ret.komputila0o;电脑网路[diàn nǎo wǎng lù],電腦網路[diàn nǎo wǎng lù]
komputila reto;ret.komputila0o;計算機網絡[jì suàn jī wǎng luò],计算机网络[jì suàn jī wǎng luò]
latreto;ret.lat0o;棚架格子[péng jià gé zi]
loka reto;ret.loka_0o;区域网路[qū yù wǎng lù],區域網路[qū yù wǎng lù]
loka reto;ret.loka_0o;区域网络[qū yù wǎng luò],區域網絡[qū yù wǎng luò]
loka reto;ret.loka_0o;局域網[jú yù wǎng],局域网[jú yù wǎng]
loka reto;ret.loka_0o;局域網絡[jú yù wǎng lào],局域网络[jú yù wǎng lào]
malloka reto;ret.malloka_0o;广域网[guǎng yù wǎng],廣域網[guǎng yù wǎng]
malloka reto;ret.malloka_0o;广域网路[guǎng yù wǎng lù],廣域網路[guǎng yù wǎng lù]
malloka reto;ret.malloka_0o;公網[gōng wǎng],公网[gōng wǎng]
sendrata reto;ret.sendrata_0o;无线网路[wú xiàn wǎng lù],無線網路[wú xiàn wǎng lù]
socia retejo;ret.socia0ejo;社交網站[shè jiāo wǎng zhàn],社交网站[shè jiāo wǎng zhàn]
retino;retin.0o;視網膜[shì wǎng mó],视网膜[shì wǎng mó]
retino;retin.0o;網膜[wǎng mó],网膜[wǎng mó]
retoriko;retori.0o;詞藻[cí zǎo],词藻[cí zǎo]
retoriko;retori.0o;修辞[xiū cí],修辭[xiū cí]
retoriko;retori.0o;巧辩[qiǎo biàn],巧辯[qiǎo biàn]
retoriko;retori.0o;辞藻[cí zǎo],辭藻[cí zǎo]
retorto;retort.0o;应话[yìng huà],應話[yìng huà]
retreto;retret.0o;拉回[lā huí]
retroe;retro.0e;朝后[cháo hòu],朝後[cháo hòu]
retroe;retro.0e;向后[xiàng hòu],向後[xiàng hòu]
retroe;retro.0e;向后方[xiàng hòu fāng],向後方[xiàng hòu fāng]
retroe;retro.0e;向后面[xiàng hòu miàn],向後面[xiàng hòu miàn]
retrospegulo;retro.0spegulo;后视镜[hòu shì jìng],後視鏡[hòu shì jìng]
retrospegulo;retro.0spegulo;后照镜[hòu zhào jìng],後照鏡[hòu zhào jìng]
retrocedi;retroced.0i;撤退[chè tuì]
retrocedi;retroced.0i;退却[tuì què],退卻[tuì què]
retrokupli;retrokupl.0i;反饋[fǎn kuì],反馈[fǎn kuì]
retrokuplo;retrokupl.0o;回饋[huí kuì],回馈[huí kuì]
retrokuplo;retrokupl.0o;反饋[fǎn kuì],反馈[fǎn kuì]
retrospektiva;retros.0a;回眸[huí móu]
retrospektivo;retros.0o;回顧展[huí gù zhǎn],回顾展[huí gù zhǎn]
retrospektivo;retros.0o;回顧[huí gù],回顾[huí gù]
retrospektivo;retros.0o;回想[huí xiǎng]
retroviruso;retrovirus.0o;反轉錄病毒[fǎn zhuǎn lù bìng dú],反转录病毒[fǎn zhuǎn lù bìng dú]
retroviruso;retrovirus.0o;反录病毒[fǎn lù bìng dú],反錄病毒[fǎn lù bìng dú]
retroviruso;retrovirus.0o;逆轉錄病毒[nì zhuǎn lù bìng dú],逆转录病毒[nì zhuǎn lù bìng dú]
retroviruso;retrovirus.0o;逆轉錄病毒[nì zhuàn lù bìng dú],逆转录病毒[nì zhuàn lù bìng dú]
reŭmatismo;reuxma.0o;風濕病[fēng shī bìng],风湿病[fēng shī bìng]
reŭmatismo;reuxma.0o;風濕[fēng shī],风湿[fēng shī]
reŭmatismo;reuxma.0o;風濕症[fēng shī zhèng],风湿症[fēng shī zhèng]
reva;rev.0a;夢幻[mèng huàn],梦幻[mèng huàn]
reva;rev.0a;怔神儿[zhēng shén r],怔神兒[zhēng shén r]
reva;rev.0a;发呆[fā dāi],發呆[fā dāi]
revema;rev.0ema;醉心狂熱[zuì xīn kuáng rè]
revi;rev.0i;夢想[mèng xiǎng],梦想[mèng xiǎng]
revi;rev.0i;夢見[mèng jiàn],梦见[mèng jiàn]
senrevigi;rev.el0igi;使失望[shǐ shī wàng]
senrevigi;rev.el0igi;期待落空[qī dài là kòng]
elreviĝi;rev.el0igxi;幻滅[huàn miè],幻灭[huàn miè]
senreviĝo;rev.el0igxo;幻滅[huàn miè],幻灭[huàn miè]
prirevi;rev.pri0i;夢到[mèng dào],梦到[mèng dào]
revelacii;revela.0i;揭露[jiē lù]
revelacii;revela.0i;露[lòu]
revelacio;revela.0o;揭露[jiē lù]
revizi;revizi.0i.dogane;检验[jiǎn yàn],檢驗[jiǎn yàn]
revizi;revizi.0i.dogane;勘测[kān cè],勘測[kān cè]
revizi;revizi.0i.dogane;监[jiān],監[jiān]
revizi;revizi.0i.dogane;查看[chá kàn]
revizi;revizi.0i.dogane;检阅[jiǎn yuè],檢閱[jiǎn yuè]
revizi;revizi.0i.dogane;再审核[zài shěn hé],再審核[zài shěn hé]
revizi;revizi.0i.dogane;重新考察[chóng xīn kǎo chá]
revizi;revizi.0i.verkon;新修[xīn xiū]
revizi;revizi.0i.verkon;修正[xiū zhèng]
revizi;revizi.0i.verkon;覆核[fù hé]
reviziismo;revizi.0ismo;修正主义[xiū zhèng zhǔ yì],修正主義[xiū zhèng zhǔ yì]
reviziismo;revizi.0ismo;历史修正主义[lì shǐ xiū zhèng zhǔ yì],歷史修正主義[lì shǐ xiū zhèng zhǔ yì]
reviziisto;revizi.0isto;审计员[shěn jì yuán],審計員[shěn jì yuán]
reviziisto;revizi.0isto;校对员[jiào duì yuán],校對員[jiào duì yuán]
reviziisto;revizi.0isto;审稿[shěn gǎo],審稿[shěn gǎo]
reviziisto;revizi.0isto;校对者[jiào duì zhě],校對者[jiào duì zhě]
reviziisto;revizi.0isto;复查员[fù chá yuán],復查員[fù chá yuán]
reviziisto;revizi.0isto;复核人[fù hé rén],復核人[fù hé rén]
reviziisto;revizi.0isto;校訂者[jiào dìng zhě],校订者[jiào dìng zhě]
reviziisto;revizi.0isto;检验员[jiǎn yàn yuán],檢驗員[jiǎn yàn yuán]
revizio;revizi.0o.JUR;上訴[shàng sù],上诉[shàng sù]
revizio;revizi.0o.JUR;再审[zài shěn],再審[zài shěn]
revizio;revizi.0o.JUR;审计[shěn jì],審計[shěn jì]
revizoro;revizo.0o;审计员[shěn jì yuán],審計員[shěn jì yuán]
revizoro;revizo.0o;复查员[fù chá yuán],復查員[fù chá yuán]
revizoro;revizo.0o;复核人[fù hé rén],復核人[fù hé rén]
revizoro;revizo.0o;检验员[jiǎn yàn yuán],檢驗員[jiǎn yàn yuán]
revolucii;revolu.0i;反戈[fǎng ē]
revoluciigi;revolu.0igi;革命[gé mìng]
revoluciulo;revolu.0ulo.POL;革命家[gé mìng jiā]
revoluciulo;revolu.0ulo.POL;革命者[gé mìng zhě]
industria revolucio;revolu.industria0o;产业革命[chǎn yè gé mìng],產業革命[chǎn yè gé mìng]
industria revolucio;revolu.industria0o;工业革命[gōng yè gé mìng],工業革命[gōng yè gé mìng]
kontraŭrevolucio;revolu.kontraux0o;反革命[fǎn gé mìng]
revolvero;revolv.0o;左輪手槍[zuǒ lún shǒu qiāng],左轮手枪[zuǒ lún shǒu qiāng]
revolvero;revolv.0o;轉輪手槍[zhuàn lún shǒu qiāng],转轮手枪[zhuàn lún shǒu qiāng]
revui;revu.0i;检阅[jiǎn yuè],檢閱[jiǎn yuè]
revui;revu.0i;查看[chá kàn]
revuo;revu.0o.INF_gazeto;定期出版物[dìng qī chū bǎn wù]
revuo;revu.0o.INF_gazeto;木库[mù kù],木庫[mù kù]
revuo;revu.0o.INF_gazeto;杂志[zá zhì],雜誌[zá zhì]
revuo;revu.0o.MIL;閱兵[yuè bīng],阅兵[yuè bīng]
rezerva;;備用[bèi yòng],备用[bèi yòng]
rezervano;rezerv.0ano.MIL;預備役軍人[yù bèi yì jūn rén],预备役军人[yù bèi yì jūn rén]
rezervano;rezerv.0ano.MIL;在乡军人[zài xiāng jūn rén],在鄉軍人[zài xiāng jūn rén]
rezervano;rezerv.0ano.MIL;后备军人[hòu bèi jūn rén],後備軍人[hòu bèi jūn rén]
rezervi;rezerv.0i;储备[chǔ bèi],儲備[chǔ bèi]
rezervi;rezerv.0i;保留[bǎo liú]
rezervisto;rezerv.0isto.MIL;預備役軍人[yù bèi yì jūn rén],预备役军人[yù bèi yì jūn rén]
rezervisto;rezerv.0isto.MIL;在乡军人[zài xiāng jūn rén],在鄉軍人[zài xiāng jūn rén]
rezervisto;rezerv.0isto.MIL;后备军人[hòu bèi jūn rén],後備軍人[hòu bèi jūn rén]
rezervo;rezerv.0o;储备[chǔ bèi],儲備[chǔ bèi]
rezervo;rezerv.0o;后备[hòu bèi],後備[hòu bèi]
rezervo;rezerv.0o;公积金[gōng jī jīn],公積金[gōng jī jīn]
rezervo;rezerv.0o;存量[cún liàng]
rezervo;rezerv.0o;储备金[chǔ bèi jīn],儲備金[chǔ bèi jīn]
rezervo;rezerv.0o;准备金[zhǔn bèi jīn],準備金[zhǔn bèi jīn]
rezervo;rezerv.0o;續備軍[xù bèi jūn],续备军[xù bèi jūn]
rezervulo;rezerv.0ulo.SPO;替补队员[tì bǔ duì yuán],替補隊員[tì bǔ duì yuán]
rezervulo;rezerv.0ulo.SPO;候补[hòu bǔ],候補[hòu bǔ]
naturrezervejo;rezerv.natur0ejo;自然保护区[zì rán bǎo hù qū],自然保護區[zì rán bǎo hù qū]
senrezerva;rezerv.sen0a;无限制[wú xiàn zhì],無限制[wú xiàn zhì]
senrezerva;rezerv.sen0a;涵蓄[hán xù]
senrezerva;rezerv.sen0a;不問是非[bù wèn shì fēi],不问是非[bù wèn shì fēi]
senrezerva;rezerv.sen0a;阿莎力[ā shā lì]
rezidejo;rezid.0ejo.logxejo;寓[yù]
rezidejo;rezid.0ejo.logxejo;捨[shě],舍[shě]
rezidejo;rezid.0ejo.logxejo;寓所[yù suǒ]
rezidejo;rezid.0ejo.logxejo;固定住所[gù dìng zhù suǒ]
rezidi;rezid.0i.ofici;寓[yù]
rezidi;rezid.0i.ofici;居留[jū liú]
rezidejo;;居留[jū liú]
rezidejo;;下榻[xià tà]
reziduo;rezidu.0o;留数[liú shù],留數[liú shù]
rezignebla;rezign.0ebla;可放弃[kě fàng qì],可放棄[kě fàng qì]
rezignemo;rezign.0emo;失敗主義[shī bài zhǔ yì],失败主义[shī bài zhǔ yì]
rezignemo;rezign.0emo;死心[sǐ xīn]
rezignemo;rezign.0emo;听天由命[tìng tiān yóu mìng],聽天由命[tìng tiān yóu mìng]
rezigni;rezign.0i;放弃[fàng qì],放棄[fàng qì]
rezigni;rezign.0i;戒除[jiè chú]
rezigni;rezign.0i;捨棄[shě qì],舍弃[shě qì]
rezigni;rezign.0i;辞去[cí qù],辭去[cí qù]
rezigni;rezign.0i;丧送[sàng sòng],喪送[sàng sòng]
rezigni;rezign.0i;捐弃[juān qì],捐棄[juān qì]
rezigno;rezign.0o;誓絕[shì jué],誓绝[shì jué]
rezignacii;rezign1.0i;低头丧气[dī tóu sàng qì],低頭喪氣[dī tóu sàng qì]
rezignacii;rezign1.0i;辞去[cí qù],辭去[cí qù]
rezignacii;rezign1.0i;死心[sǐ xīn]
rezino;rezin.0o;树脂[shù zhī],樹脂[shù zhī]
rezino;rezin.0o;树胶[shù jiāo],樹膠[shù jiāo]
sinteza rezino;rezin.arta0o;人造松香[rén zào sōng xiāng]
sinteza rezino;rezin.arta0o;合成树脂[hé chéng shù zhī],合成樹脂[hé chéng shù zhī]
epoksirezino;rezin.epoksi0o;环氧树脂[huán yǎng shù zhī],環氧樹脂[huán yǎng shù zhī]
rezistema;rezist.0ema;結實[jiē shi],结实[jiē shi]
rezistema;rezist.0ema;松柏節操[sōng bó jié cāo],松柏节操[sōng bó jié cāo]
rezistema;rezist.0ema;強健[qiáng jiàn],强健[qiáng jiàn]
rezistema;rezist.0ema;坚贞[jiān zhēn],堅貞[jiān zhēn]
rezistemo;rezist.0emo;抗性[kàng xìng]
rezistemo;rezist.0emo;折射性[zhé shè xìng]
rezisti;rezist.0i;牴[dǐ]
rezisti;rezist.0i;觝[dǐ]
rezisti;rezist.0i;抵抗[dǐ kàng]
rezisti;rezist.0i;抵御[dǐ yù],抵禦[dǐ yù]
rezisti;rezist.0i;抗[kàng]
rezisti;rezist.0i;反抗[fǎn kàng]
rezisti;rezist.0i;拒[jù]
rezisti;rezist.0i;強忍[qiáng rěn],强忍[qiáng rěn]
rezistilo;rezist.0ilo;电阻[diàn zǔ],電阻[diàn zǔ]
rezistilo;rezist.0ilo;电阻器[diàn zǔ qì],電阻器[diàn zǔ qì]
rezisto;rezist.0o;电阻[diàn zǔ],電阻[diàn zǔ]
nerezistebla;rezist.ne0ebla;不能抵抗[bù néng dǐ kàng]
nerezistebla;rezist.ne0ebla;不可抗拒[bù kě kàng jù]
nerezistebla;rezist.ne0ebla;令人倾倒[lìng rén qīng dào],令人傾倒[lìng rén qīng dào]
nerezistebla;rezist.ne0ebla;令人折服的[lìng rén zhé fú de]
nerezistebla;rezist.ne0ebla;有巨大誘惑力[yǒu jù dà yòu huò lì],有巨大诱惑力[yǒu jù dà yòu huò lì]
rezistanco;rezist1.0o;电阻[diàn zǔ],電阻[diàn zǔ]
rezolucio;rezolu.0o;决议[jué yì],決議[jué yì]
rezolucio;rezolu.0o;决断[jué duàn],決斷[jué duàn]
rezolucio;rezolu.0o;心志[xīn zhì]
rezolucio;rezolu.0o;决心[jué xīn],決心[jué xīn]
rezoluta;rezolut.0a;坚定[jiān dìng],堅定[jiān dìng]
rezoluta;rezolut.0a;毅[yì]
rezoluta;rezolut.0a;决心[jué xīn],決心[jué xīn]
rezoluta;rezolut.0a;坚决[jiān jué],堅決[jiān jué]
rezoluta;rezolut.0a;亹[wěi]
rezoni;rezon.0i;推理[tuī lǐ]
rezono;rezon.0o;推理[tuī lǐ]
rezono;rezon.0o;思路[sī lù]
rezonpovo;rezon.0povo;判断力[pàn duàn lì],判斷力[pàn duàn lì]
rezonpovo;rezon.0povo;心窍[xīn qiào],心竅[xīn qiào]
rezonpovo;rezon.0povo;思維力[sī wéi lì],思维力[sī wéi lì]
rezonpovo;rezon.0povo;思考能力[sī kǎo néng lì]
rezulte;rezult.0e;所致[suǒ zhì]
rezulte;rezult.0e;結果[jié guǒ],结果[jié guǒ]
rezulti;rezult.0i;致使[zhì shǐ]
rezultigi;rezult.0igi;引发[yǐn fā],引發[yǐn fā]
rezultigi;rezult.0igi;引起[yǐn qǐ]
rezultaĵo;rezult.0o;成效[chéng xiào]
rezultaĵo;rezult.0o;結果[jié guǒ],结果[jié guǒ]
rezultaĵo;rezult.0o;成果[chéng guǒ]
rezultaĵo;rezult.0o;果[guǒ]
rezultato;rezult1.0o;产物[chǎn wù],產物[chǎn wù]
rezultato;rezult1.0o;果[guǒ]
Riado;riad.0o.GEOG;利雅德[lì yǎ dé]
ribo;rib.0o;紅醋栗[hóng cù lì],红醋栗[hóng cù lì]
ribujo;;紅醋栗[hóng cù lì],红醋栗[hóng cù lì]
nigra ribo;rib.nigra0o;黑穗醋栗[hēi suì cù lì]
nigra ribo;rib.nigra0o;黑加仑[hēi jiā lún],黑加崙[hēi jiā lún]
nigra ribo;rib.nigra0o;黑加仑子[hēi jiā lún zǐ],黑加崙子[hēi jiā lún zǐ]
nigra ribo;rib.nigra0o;黑醋栗[hēi cù lì]
ruĝa ribo;;紅加侖[hóng jiā lún],红加仑[hóng jiā lún]
ribelema;ribel.0ema;造反[zào fǎn]
ribelema;ribel.0ema;叛逆的[pàn nì de]
ribelema;ribel.0ema;悖[bèi]
ribeli;ribel.0i;叛逆[pàn nì]
ribeli;ribel.0i;造反[zào fǎn]
ribeli;ribel.0i;反叛[fǎn pàn]
ribeli;ribel.0i;叛乱[pàn luàn],叛亂[pàn luàn]
ribeli;ribel.0i;叛逆的[pàn nì de]
ribeli;ribel.0i;叛[pàn]
ribeli;ribel.0i;反抗者[fǎn kàng zhě]
ribeli;ribel.0i;反叛[fǎn pan]
ribeli;ribel.0i;犯上作乱[fàn shàng zuò luàn],犯上作亂[fàn shàng zuò luàn]
ribeli;ribel.0i;哗变[huá biàn],嘩變[huá biàn]
ribelo;ribel.0o;造反[zào fǎn]
ribelo;ribel.0o;暴动[bào dòng],暴動[bào dòng]
ribelo;ribel.0o;叛乱[pàn luàn],叛亂[pàn luàn]
ribelo;;暴乱[bào luàn],暴亂[bào luàn]
ribelulo;ribel.0ulo;造反[zào fǎn]
ribelulo;ribel.0ulo;反抗者[fǎn kàng zhě]
ribelulo;ribel.0ulo;逆[nì]
ribelulo;ribel.0ulo;反叛分子[fǎn pàn fèn zǐ]
ribosomo;ribosom.0o;核糖体[hé táng tǐ],核糖體[hé táng tǐ]
ricevi;ricev.0i;膺[yīng]
ricevi;ricev.0i;受取[shòu qǔ]
ricevi;ricev.0i;扱[xī]
ricevi;ricev.0i;收下[shōu xià]
ricevi;ricev.0i;收到[shōu dào]
ricevi;ricev.0i;收取[shōu qǔ]
ricevi;ricev.0i;收受[shōu shòu]
ricevi;ricev.0i;領到[lǐng dào],领到[lǐng dào]
ricevi;ricev.0i;領受[lǐng shòu],领受[lǐng shòu]
ricevi;ricev.0i;領收[lǐng shōu],领收[lǐng shōu]
riceviĝi;ricev.0igxi;信件收到[xìn jiàn shōu dào]
ricevinto;ricev.0onto;首信任[shǒu xìn rèn]
ricevinto;ricev.0onto;收件者[shōu jiàn zhě]
ricevinto;ricev.0onto;接收人[jiē shōu rén]
ricevinto;ricev.0onto;接收单位[jiē shōu dān wèi],接收單位[jiē shōu dān wèi]
ricevinto;ricev.0onto;收貨人[shōu huò rén],收货人[shōu huò rén]
ricevinto;ricev.0onto;收件人[shōu jiàn rén]
ricevinto;ricev.0onto;受事[shòu shì]
ricevinto;ricev.0onto;接受者[jiē shòu zhě]
ricevinto;ricev.0onto;收信人[shōu xìn rén]
radioricevilo;ricev.radi0ilo;接收机[jiē shōu jī],接收機[jiē shōu jī]
radioricevilo;ricev.radi0ilo;收音机[shōu yīn jī],收音機[shōu yīn jī]
rericevi;ricev.re0i;取回[qǔ huí]
rericevi;ricev.re0i;收回[shōu huí]
rericevi;ricev.re0i;找回[zhǎo huí]
rericevi;ricev.re0i;追回[zhuī huí]
ricino;ricin.0o;蓖[bì]
ricino;ricin.0o;蓖麻[bì má]
riĉa;ricx.0a;富裕[fù yù]
riĉa;ricx.0a;富[fù]
riĉa;ricx.0a;有錢[yǒu qián],有钱[yǒu qián]
riĉa;ricx.0a;充实[chōng shí],充實[chōng shí]
riĉa;ricx.0a;博[bó]
riĉa;ricx.0a;富足[fù zú]
riĉa;ricx.0a;沃[wò]
riĉa;ricx.0a;丰富[fēng fù],豐富[fēng fù]
riĉa;ricx.0a;闊[kuò],阔[kuò]
riĉa;ricx.0a;饒[ráo],饶[ráo]
riĉa;ricx.0a;饒沃[ráo wò],饶沃[ráo wò]
riĉa;ricx.0a;宽余[kuān yú],寬餘[kuān yú]
riĉa;ricx.0a;醰[tán]
riĉaĵo;ricx.0ajxo;財[cái],财[cái]
riĉaĵo;ricx.0ajxo;財富[cái fù],财富[cái fù]
riĉaĵo;ricx.0ajxo;錢財[qián cái],钱财[qián cái]
riĉaĵo;ricx.0ajxo;富[fù]
riĉeco;ricx.0eco;財富[cái fù],财富[cái fù]
riĉeco;ricx.0eco;富[fù]
riĉigi;ricx.0igi;充实[chōng shí],充實[chōng shí]
riĉigi;ricx.0igi;增色[zēng sè]
riĉigi;ricx.0igi;富含[fù hán]
riĉiĝi;ricx.0igxi;发家[fā jiā],發家[fā jiā]
riĉiĝi;ricx.0igxi;致富[zhì fù]
riĉiĝi;ricx.0igxi;发财[fā cái],發財[fā cái]
riĉiĝi;ricx.0igxi;发财致富[fā cái zhì fù],發財致富[fā cái zhì fù]
riĉo;ricx.0o;財富[cái fù],财富[cái fù]
riĉo;ricx.0o;富[fù]
riĉulo;ricx.0ulo;富翁[fù wēng]
riĉulo;ricx.0ulo;富人[fù rén]
riĉulo;ricx.0ulo;闊人[kuò rén],阔人[kuò rén]
riĉulo;ricx.0ulo;有錢人[yǒu qián rén],有钱人[yǒu qián rén]
malriĉa;ricx.mal0a;穷[qióng],窮[qióng]
malriĉa;ricx.mal0a;窭[jù],窶[jù]
malriĉa;ricx.mal0a;貧窮[pín qióng],贫穷[pín qióng]
malriĉa;ricx.mal0a;貧[pín],贫[pín]
malriĉa;ricx.mal0a;貧寒[pín hán],贫寒[pín hán]
malriĉa;ricx.mal0a;貧瘠[pín jí],贫瘠[pín jí]
malriĉa;ricx.mal0a;貧苦[pín kǔ],贫苦[pín kǔ]
malriĉa;ricx.mal0a;敝[bì]
malriĉa;ricx.mal0a;清苦[qīng kǔ]
malriĉa;ricx.mal0a;穷苦[qióng kǔ],窮苦[qióng kǔ]
malriĉeco;ricx.mal0eco;貧困[pín kùn],贫困[pín kùn]
malriĉo;ricx.mal0o;貧困[pín kùn],贫困[pín kùn]
malriĉulo;ricx.mal0ulo;貧民[pín mín],贫民[pín mín]
malriĉulo;ricx.mal0ulo;无用的人[wú yòng de rén],無用的人[wú yòng de rén]
novriĉulo;ricx.nov0ulo;新貴[xīn guì],新贵[xīn guì]
ridaĉi;rid.0acxi;冷笑[lěng xiào]
ridaĉi;rid.0acxi;狞笑[níng xiào],獰笑[níng xiào]
ridaĉo;rid.0acxo;狞笑[níng xiào],獰笑[níng xiào]
ridegi;rid.0egi;狂笑[kuáng xiào]
ridegi;rid.0egi;哄笑[hōng xiào]
ridegi;rid.0egi;发笑[fā xiào],發笑[fā xiào]
ridegi;rid.0egi;誒笑[ēi xiào],诶笑[ēi xiào]
ridegi;rid.0egi;爆笑[bào xiào]
ridego;rid.0ego;哄笑[hōng xiào]
ridego;rid.0ego;誒笑[ēi xiào],诶笑[ēi xiào]
rideto;rid.0eto;微笑[wēi xiào]
rideto;rid.0eto;笑容[xiào róng]
rideto;rid.0eto;莞[wǎn]
rideto;rid.0eto;哂[shěn]
rideto;rid.0eto;听[yǐn]
ridiga;rid.0iga;搞笑[gǎo xiào]
ridiga;rid.0iga;好玩[hǎo wán]
ridiga;rid.0iga;哏[gén]
ridiga;rid.0iga;喜感[xǐ gǎn]
ridiga;rid.0iga;逗人[dòu rén]
ridinda;rid.0inda;荒謬[huāng miù],荒谬[huāng miù]
ridinda;rid.0inda;荒誕無稽[huāng dàn wú jī],荒诞无稽[huāng dàn wú jī]
ridinda;rid.0inda;可笑[kě xiào]
ridinda;rid.0inda;愚蠢[yú chǔn]
ridinda;rid.0inda;乖謬[guāi miù],乖谬[guāi miù]
ridinda;rid.0inda;可笑地[kě xiào de]
ridindigi;rid.0indigi;誚[qiào],诮[qiào]
ridindigi;rid.0indigi;摆了一道[bǎi le yī dào],擺了一道[bǎi le yī dào]
ridindigi;rid.0indigi;嘲諷[cháo fěng],嘲讽[cháo fěng]
ridindigi;rid.0indigi;娸[qí]
ridindigi;rid.0indigi;恥笑[chǐ xiào],耻笑[chǐ xiào]
ridindigi;rid.0indigi;調侃[tiáo kǎn],调侃[tiáo kǎn]
ridindigi;rid.0indigi;譙[qiào],谯[qiào]
ridindiĝi;rid.0indigxi;貽笑[yí xiào],贻笑[yí xiào]
ridindiĝi;rid.0indigxi;出丑[chū chǒu],出醜[chū chǒu]
rido;rid.0o;喜笑[xǐ xiào]
rido;rid.0o;笑声[xiào shēng],笑聲[xiào shēng]
alrideti;rid.al0eti;唹[yú]
alrideti;rid.al0eti;向...微笑[xiàng . . . wēi xiào]
malrideti;rid.mal0eti;顣[qī]
malrideti;rid.mal0eti;做眉做眼[zuò méi zuò yǎn]
malrideti;rid.mal0eti;横眉[héng méi],橫眉[héng méi]
malrideti;rid.mal0eti;皱眉[zhòu méi],皺眉[zhòu méi]
malrideti;rid.mal0eti;蹙眉[cù méi]
malrideti;rid.mal0eti;顰眉[pín méi],颦眉[pín méi]
mokridi;rid.mok0i;笑[xiào]
mokridi;rid.mok0i;嗤[chī]
mokridi;rid.mok0i;悝[kuī]
mokridi;rid.mok0i;哂笑[shěn xiào]
mokridi;rid.mok0i;訕笑[shàn xiào],讪笑[shàn xiào]
priridi;rid.pri0i;嗤[chī]
priridi;rid.pri0i;悝[kuī]
priridi;rid.pri0i;自嘲[zì cháo]
priridi;rid.pri0i;笑[xiào]
subridi;rid.sub0i;暗笑[àn xiào]
subridi;rid.sub0i;坏笑[huài xiào],壞笑[huài xiào]
subridi;rid.sub0i;偷笑[tōu xiào]
rifo;rif.0o;礁石[jiāo shí]
rifo;rif.0o;礁[jiāo]
rifo;rif.0o;壁[bì]
rifo;rif.0o;山崖[shān yá]
rifuĝejo;rifugx.0ejo;庇护所[bì hù suǒ],庇護所[bì hù suǒ]
rifuĝejo;rifugx.0ejo;安全地带[ān quán dì dài],安全地帶[ān quán dì dài]
rifuĝejo;rifugx.0ejo;慰籍地[wèi jí de]
rifuĝejo;rifugx.0ejo;安全的地方[ān quán de dì fang]
rifuĝejo;rifugx.0ejo;港湾[gǎng wān],港灣[gǎng wān]
rifuĝejo;rifugx.0ejo;蔽身处[bì shēn chù],蔽身處[bì shēn chù]
rifuĝejo;rifugx.0ejo;临时避难所[lín shí bì nán suǒ],臨時避難所[lín shí bì nán suǒ]
rifuĝi;rifugx.0i;避难[bì nàn],避難[bì nàn]
rifuĝi;rifugx.0i;逃难[táo nàn],逃難[táo nàn]
rifuĝi;rifugx.0i;投奔[tóu bèn]
rifuĝinto;rifugx.0into;逃亡者[táo wáng zhě]
rifuĝinto;rifugx.0into;难民[nàn mín],難民[nàn mín]
rifuĝinto;rifugx.0into;流亡者[liú wáng zhě]
rifuĝinto;rifugx.0into;逃跑[táo pǎo]
rifuĝinto;rifugx.0into;逃避物[táo bì wù]
rifuĝinto;rifugx.0into;逃避者[táo bì zhě]
